,,balanced accuracy,AUC,accuracy,F1 score
Agreeableness,5,0.786,0.857,0.75,0.769
Agreeableness,10,0.611,0.741,0.583,0.444
Agreeableness,15,0.75,0.792,0.75,0.769
Agreeableness,20,0.757,0.886,0.75,0.769
Openness,5,0.917,0.917,0.917,0.923
Openness,10,0.667,0.681,0.667,0.714
Openness,15,0.75,0.917,0.75,0.8
Openness,20,0.611,0.722,0.75,0.842
Conscientiousness,5,0.812,0.812,0.75,0.727
Conscientiousness,10,0.829,0.814,0.833,0.8
Conscientiousness,15,0.5,0.806,0.5,0.25
Conscientiousness,20,0.556,0.519,0.5,0.571
Neuroticism,5,0.5,0.672,0.5,0.571
Neuroticism,10,0.686,0.643,0.667,0.667
Neuroticism,15,0.85,0.875,0.75,0.824
Neuroticism,20,0.7,0.714,0.75,0.824
Extraversion,5,0.917,0.944,0.917,0.909
Extraversion,10,0.8,0.986,0.833,0.875
Extraversion,15,0.75,0.672,0.75,0.8
Extraversion,20,0.875,0.953,0.917,0.941
