,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
0,SVC,Agreeableness,test throw median,num_streamlines,baseline,pearson,2,balanced_accuracy,92.857,94.118,92.308,99.213,49.483,53.061,34.286,44.828
1,SVC,Agreeableness,test throw median,num_streamlines,baseline,pearson,5,balanced_accuracy,77.143,78.151,72.917,82.099,49.31,51.02,40.0,45.517
2,SVC,Agreeableness,test throw median,num_streamlines,baseline,pearson,10,balanced_accuracy,61.327,63.866,51.685,66.006,48.879,55.102,21.429,58.879
3,SVC,Agreeableness,test throw median,num_streamlines,baseline,pearson,50,balanced_accuracy,61.327,63.866,51.685,66.006,48.879,55.102,21.429,58.879
4,SVC,Agreeableness,test throw median,num_streamlines,baseline,pearson,100,balanced_accuracy,61.327,63.866,51.685,66.006,48.879,55.102,21.429,58.879
5,SVC,Agreeableness,test throw median,num_streamlines,baseline,t_test,2,balanced_accuracy,100.0,100.0,100.0,0.0,47.759,51.02,33.333,46.379
6,SVC,Agreeableness,test throw median,num_streamlines,baseline,t_test,5,balanced_accuracy,100.0,100.0,100.0,100.0,47.759,51.02,33.333,53.621
7,SVC,Agreeableness,test throw median,num_streamlines,baseline,t_test,10,balanced_accuracy,100.0,100.0,100.0,0.0,47.759,51.02,33.333,46.379
8,SVC,Agreeableness,test throw median,num_streamlines,baseline,t_test,50,balanced_accuracy,100.0,100.0,100.0,100.0,47.759,51.02,33.333,53.621
9,SVC,Agreeableness,test throw median,num_streamlines,baseline,t_test,100,balanced_accuracy,100.0,100.0,100.0,100.0,47.759,51.02,33.333,53.621
10,SVC,Agreeableness,test throw median,mean_strl,baseline,pearson,2,balanced_accuracy,90.204,89.916,88.235,92.857,38.362,40.816,25.641,42.241
11,SVC,Agreeableness,test throw median,mean_strl,baseline,pearson,5,balanced_accuracy,66.224,66.387,61.538,78.776,46.638,46.939,40.909,46.293
12,SVC,Agreeableness,test throw median,mean_strl,baseline,pearson,10,balanced_accuracy,62.653,67.227,48.0,62.041,41.207,46.939,13.333,41.207
