,Unnamed: 0,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num edges,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
0,0,SVC,Gender,random,t_test,solver,num_streamlines,9.036,balanced_accuracy,315,97.414,97.87200000000001,98.225,99.25200000000001,85.819,85.484,84.74600000000001,94.538
1,1,SVC,Gender,random,t_test,solver,mean_strl,8.749,balanced_accuracy,305,100.0,100.0,100.0,100.0,70.063,70.968,65.385,73.95
2,2,SVC,Gender,random,fscores,solver,mean_FA,8.749,balanced_accuracy,305,100.0,100.0,100.0,100.0,70.063,70.968,65.385,73.95
3,3,SVC,Gender,random,t_test,solver,mean_FA,8.749,balanced_accuracy,305,100.0,100.0,100.0,100.0,70.063,70.968,65.385,73.95
4,4,SVC,Gender,random,fscores,solver,mean_strl,8.749,balanced_accuracy,305,100.0,100.0,100.0,100.0,70.063,70.968,65.385,73.95
5,5,SVC,Gender,random,fscores,solver,num_streamlines,8.405,balanced_accuracy,293,98.27600000000001,98.58200000000001,98.81,98.73299999999999,82.56299999999999,82.258,81.35600000000001,93.48700000000001
6,6,SVC,Gender,random,t_test,solver,mean_strl,6.627000000000001,balanced_accuracy,231,100.0,100.0,100.0,100.0,70.378,70.968,66.667,73.529
7,7,SVC,Gender,random,t_test,solver,mean_FA,6.627000000000001,balanced_accuracy,231,100.0,100.0,100.0,100.0,70.378,70.968,66.667,73.529
8,8,SVC,Gender,random,t_test,solver,num_streamlines,6.54,balanced_accuracy,228,88.20100000000001,87.943,89.441,89.427,78.46600000000001,77.419,78.125,86.45
9,9,SVC,Gender,random,fscores,solver,mean_strl,6.627000000000001,balanced_accuracy,231,100.0,100.0,100.0,100.0,70.378,70.968,66.667,73.529
10,10,SVC,Gender,random,fscores,solver,num_streamlines,6.11,balanced_accuracy,213,100.0,100.0,100.0,100.0,81.723,80.645,81.25,92.12200000000001
11,11,SVC,Gender,random,t_test,solver,mean_FA,5.0489999999999995,balanced_accuracy,176,83.455,85.10600000000001,88.0,92.21,61.555,61.29,60.0,74.58
12,12,SVC,Gender,random,t_test,solver,mean_strl,5.0489999999999995,balanced_accuracy,176,83.455,85.10600000000001,88.0,92.21,61.555,61.29,60.0,74.58
13,13,SVC,Gender,random,fscores,solver,mean_strl,5.0489999999999995,balanced_accuracy,176,83.455,85.10600000000001,88.0,92.21,61.555,61.29,60.0,74.58
14,14,SVC,Gender,random,t_test,solver,num_streamlines,4.188,balanced_accuracy,146,100.0,100.0,100.0,100.0,78.782,77.419,78.788,90.23100000000001
