feature,mean_importance
827,-0.02510455883756908
931,-0.025079227592181487
905,-0.024356967286859897
1007,-0.02267506824579506
801,-0.021977086784944165
1087,-0.02137840307704488
1089,-0.01821206673535718
1083,-0.01818377316888604
424,-0.017701393459075954
1115,-0.01678399217028841
1453,-0.015860537238868887
560,-0.01559731163481648
583,-0.015246669144506831
2492,-0.01495740127569185
1490,-0.014833050805294646
2179,-0.014750318583969291
768,-0.014523053830720256
555,-0.01403639575679132
853,-0.013841084478719744
2024,-0.013722655083340696
852,-0.013613799145982552
1081,-0.013320949559599704
2283,-0.013246013580755011
218,-0.013165747029505414
1061,-0.013158580773217965
810,-0.01300086695624918
1908,-0.012999996888226572
2282,-0.012845364840116735
672,-0.012835342100803882
907,-0.012759472022988615
1114,-0.012459733801765039
879,-0.012316897248673709
2178,-0.012084822998237588
1117,-0.011919439845712665
431,-0.011591960281564484
2284,-0.01159035770643535
828,-0.011562117346031542
662,-0.011531463584006963
1971,-0.011419522352625177
22,-0.011417499812588439
1179,-0.011412485609639544
425,-0.011251151339984843
1063,-0.011239480239433419
818,-0.011169814777467747
296,-0.010939995086780296
444,-0.010875275297722453
1763,-0.01079728943214513
1803,-0.010749179862790337
1703,-0.010730799448877493
463,-0.010549373302403265
1182,-0.010366633709030858
1335,-0.010024168107406028
2180,-0.009956188857157766
295,-0.009881640694240001
1140,-0.009854927618509502
451,-0.009769320568644702
1078,-0.009568739587899033
359,-0.00949363875941045
2439,-0.009449618964597261
1696,-0.009425953732163839
270,-0.009376024863926923
1751,-0.009346492628666648
641,-0.009290268833663795
80,-0.009270625852397485
1757,-0.009222702685364048
1711,-0.009187122101623979
2493,-0.009185570785794007
902,-0.009172229703639668
1387,-0.00911764389163281
411,-0.009116005242953395
1970,-0.009044709824869468
1191,-0.00903003696017981
1296,-0.008979282986801573
244,-0.008978298539040797
800,-0.008855259088705925
671,-0.008810273037166106
408,-0.008808568692606045
406,-0.00880028961611421
326,-0.00880020025512529
1240,-0.008791466168111484
654,-0.00877834629413612
437,-0.008755396450872154
1866,-0.008727730221838615
389,-0.00872576227884574
1221,-0.008709122703687289
2023,-0.008708864887335643
1502,-0.008679613398552189
556,-0.008643722218974447
1068,-0.008634537805951492
1438,-0.008534352956179214
503,-0.008519607647053817
1238,-0.008419727156632861
398,-0.008252008615985896
82,-0.008196499438748627
58,-0.008183165823493831
1077,-0.008150516780730265
1278,-0.008119057032838883
1243,-0.008108897737158394
385,-0.008100272412906983
1129,-0.00804458136213082
101,-0.008016159396804667
802,-0.007965342615409553
983,-0.007965157865264416
1088,-0.007935613817641362
1441,-0.007905732978304459
1219,-0.007894594357299356
457,-0.007855188685422742
1349,-0.00782178671528162
904,-0.007743636226389716
428,-0.007724013465512103
593,-0.0077019007106368335
1242,-0.007684148764456023
237,-0.0076738627312090465
816,-0.007664634264821402
797,-0.007640482845391894
222,-0.00761362787774722
85,-0.00758208416799806
342,-0.007554330873267468
1340,-0.007523039855952973
1400,-0.00744637258174885
1125,-0.007382405417406845
1347,-0.007323788519851248
399,-0.007249591787800736
957,-0.007244367932907147
1868,-0.00723282792950628
1855,-0.00722078995386557
1232,-0.007163748272344961
290,-0.0071547119609622015
542,-0.007144453190163746
352,-0.007118393316116567
223,-0.007102351068689306
1601,-0.007081257071258262
1185,-0.007071756344639723
2441,-0.007040073672589964
500,-0.007022708914330167
344,-0.007004068155277032
1082,-0.006999130371000551
35,-0.006995088903095725
1134,-0.006977259035016292
387,-0.006953933660089317
645,-0.006908494168054347
1486,-0.006869081627165263
88,-0.00684302801750607
1124,-0.006775789333654502
1500,-0.006724698469017109
763,-0.0066531141346724
1967,-0.0066345487450134135
868,-0.006627830726876738
236,-0.006623506237574928
1439,-0.0066101446713884736
1451,-0.006606302980629275
1705,-0.00659293217300867
452,-0.006583001430354463
70,-0.006567565749747306
920,-0.006560042457568693
138,-0.006550086142370182
1131,-0.00654013367620454
77,-0.0065170186422081056
850,-0.006502689801281036
426,-0.006479954457406167
1065,-0.006465919038684609
795,-0.0064182078886523275
282,-0.006407430700156791
1399,-0.006321058412974301
855,-0.006288779421285584
619,-0.006280908260792551
1073,-0.00625767856047319
129,-0.0062560419194956475
212,-0.006245181265874145
548,-0.00624196946673985
660,-0.006188640696105007
813,-0.006180697354670306
535,-0.006174756402798742
380,-0.006072988543078406
1190,-0.006059903720012949
248,-0.0060046759913700235
410,-0.005994600655228099
1756,-0.005973448716472829
650,-0.005952419860328994
213,-0.005948771367491945
849,-0.005942507606750835
1167,-0.005937195898910152
1647,-0.005923962010575279
1969,-0.005902707344670022
297,-0.005819531071498662
4,-0.005804059615100154
968,-0.0057518282305791145
465,-0.005733933120293066
657,-0.005723145355725467
753,-0.0057225316348399335
975,-0.0056986758544516295
494,-0.0056586544667518
1607,-0.005651717351592778
1864,-0.005649097834883543
92,-0.0056490391372490565
478,-0.005644206682541064
1965,-0.0056321250009938595
499,-0.005613227762291517
2232,-0.005611678387262131
1505,-0.005580785620018114
130,-0.005573605767731538
356,-0.0055505553472013245
1452,-0.005534350189453053
1070,-0.005482422680159349
462,-0.005449315847536518
1437,-0.005444627802144631
2440,-0.0054128092284123856
964,-0.005412766546319725
382,-0.005391007224335586
553,-0.005386634077849228
1440,-0.005357098079870637
1658,-0.005354577613893419
546,-0.0053207785438474705
750,-0.005293330006257912
2175,-0.005283314322923971
2443,-0.005266994977486128
1759,-0.005266385925123807
322,-0.0052497096412385865
1184,-0.00524877629433611
95,-0.005228859710550804
1333,-0.0052022476318167145
1646,-0.005200708343059146
1704,-0.005187240512633595
1084,-0.005185449740613901
1072,-0.005172003148272042
564,-0.005168865276066725
1382,-0.005164938599917424
1380,-0.005158117937981155
1141,-0.005144686878406235
1336,-0.005137974013707547
62,-0.005115378878412935
1856,-0.005001759468566913
867,-0.005000803669588594
243,-0.004995118493856676
1860,-0.004994499797841367
1180,-0.004885755926073409
959,-0.004868848211879939
1861,-0.004860967622974233
57,-0.004859257946133644
978,-0.004825495135943436
1493,-0.004819927623414122
824,-0.004816896345988075
815,-0.004803591117828887
595,-0.0047881566103492364
386,-0.004778745395289041
1188,-0.004750815062464131
225,-0.004749219885385658
459,-0.00473711532426635
460,-0.004732577388264802
829,-0.004727780936918435
1968,-0.004727731662693824
240,-0.004720225009778201
2438,-0.004705105891808126
1139,-0.004692210974155175
112,-0.004691919661497091
860,-0.004685492605848251
1817,-0.004681405233700042
2075,-0.004679561581667002
972,-0.004673860298616717
1811,-0.004660625435012689
447,-0.0046563111979601056
603,-0.004649790763658457
141,-0.004643957253449215
361,-0.0046425563875959865
557,-0.004640134581633903
808,-0.004625283803475266
1379,-0.004614146827027455
84,-0.00457580930816226
1076,-0.004560194796599415
2389,-0.004550802283093481
1388,-0.004545352653675882
483,-0.004534139568363349
1172,-0.004521658613369927
1700,-0.004513585146498711
551,-0.00450824747419083
1062,-0.00450025715920086
159,-0.004473529941637721
1224,-0.004457428624882365
973,-0.004454405016266971
971,-0.004437234187103112
1916,-0.00442204921805116
304,-0.004384182812826154
1762,-0.004360500273784274
502,-0.004340734108866195
1175,-0.0043256731418195304
1346,-0.00432254315274192
1657,-0.004318362934948849
1435,-0.0043170177445309935
862,-0.004313161308663949
689,-0.004295885069695781
109,-0.00429024817826007
505,-0.004286948109249122
1118,-0.004267383524454793
1448,-0.0042650996009184535
302,-0.0042551486414457605
100,-0.004253374207443139
337,-0.004249237694110475
1170,-0.004235988521533107
335,-0.0042341283995852574
1593,-0.0042271026770162035
932,-0.0042041560943093526
288,-0.004202247170421325
443,-0.004193554465340821
742,-0.004168966502287574
906,-0.004150704786263404
75,-0.004145160470535902
1504,-0.004120586003494875
1390,-0.004117309326287888
275,-0.004111233700866634
384,-0.0040792691718756656
922,-0.004063370669977928
