,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_features,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted,Self_loops,ROI_strl_thresh
0,SVC,Gender,randome,t_test,baseline,mean_strl,8.405,roc_auc_ovr_weighted,293,91.296,92.199,93.567,97.009,74.265,74.194,72.414,79.727,False,0
1,SVC,Gender,randome,t_test,baseline,num_streamlines,8.319,roc_auc_ovr_weighted,290,93.966,95.035,95.954,99.024,70.798,69.355,71.642,90.651,False,0
2,SVC,Gender,randome,fscores,baseline,mean_FA,8.204,roc_auc_ovr_weighted,286,88.367,89.362,91.228,96.261,69.223,69.355,66.667,80.147,False,0
3,SVC,Gender,randome,fscores,baseline,mean_strl,8.032,roc_auc_ovr_weighted,283,87.765,88.652,90.588,96.219,71.008,70.968,68.966,79.307,False,0
4,SVC,Gender,randome,t_test,baseline,mean_strl,8.003,roc_auc_ovr_weighted,279,90.091,90.78,92.308,96.261,74.265,74.194,72.414,79.517,False,0
5,SVC,Gender,randome,fscores,baseline,num_streamlines,7.917,roc_auc_ovr_weighted,277,97.414,97.872,98.225,100.0,67.017,64.516,70.27,88.025,False,0
6,SVC,Gender,randome,t_test,baseline,num_streamlines,7.86,roc_auc_ovr_weighted,274,92.241,93.617,94.857,98.899,74.37,72.581,75.362,90.441,False,0
7,SVC,Gender,randome,t_test,baseline,mean_FA,7.803,roc_auc_ovr_weighted,272,98.536,98.582,98.795,99.044,74.265,74.194,72.414,86.45,False,0
8,SVC,Gender,randome,fscores,baseline,mean_FA,7.717,roc_auc_ovr_weighted,270,86.467,88.652,91.111,98.442,60.189,58.065,63.889,69.958,False,0
9,SVC,Gender,randome,t_test,baseline,mean_strl,7.602,roc_auc_ovr_weighted,265,88.627,89.362,91.124,96.386,71.008,70.968,68.966,80.042,False,0
10,SVC,Gender,randome,t_test,baseline,num_streamlines,7.516,roc_auc_ovr_weighted,262,97.414,97.872,98.225,100.0,69.958,67.742,72.222,88.866,False,0
11,SVC,Gender,randome,fscores,baseline,mean_strl,7.487,roc_auc_ovr_weighted,262,86.903,87.943,90.058,93.727,72.794,72.581,71.186,80.777,False,0
12,SVC,Gender,randome,t_test,baseline,mean_FA,7.372,roc_auc_ovr_weighted,257,97.414,97.872,98.225,99.813,68.067,67.742,66.667,78.466,False,0
13,SVC,Gender,randome,fscores,baseline,mean_FA,7.344,roc_auc_ovr_weighted,256,86.467,88.652,91.111,98.214,61.66,59.677,64.789,70.956,False,0
14,SVC,Gender,randome,fscores,baseline,mean_strl,7.258,roc_auc_ovr_weighted,256,86.467,88.652,91.111,98.214,61.66,59.677,64.789,71.008,False,0
15,SVC,Gender,randome,fscores,baseline,mean_FA,7.028,roc_auc_ovr_weighted,245,86.467,88.652,91.111,98.027,61.66,59.677,64.789,70.746,False,0
16,SVC,Gender,randome,t_test,baseline,num_streamlines,6.999,roc_auc_ovr_weighted,244,50.0,58.865,74.107,99.252,50.0,45.161,62.222,91.071,False,0
17,SVC,Gender,randome,fscores,baseline,num_streamlines,6.913,roc_auc_ovr_weighted,242,97.414,97.872,98.225,100.0,72.899,70.968,74.286,88.971,False,0
18,SVC,Gender,randome,fscores,baseline,mean_strl,6.856,roc_auc_ovr_weighted,241,86.467,88.652,91.111,97.964,61.66,59.677,64.789,70.273,False,0
19,SVC,Gender,randome,fscores,baseline,mean_FA,6.627,roc_auc_ovr_weighted,231,85.864,87.943,90.503,97.757,59.874,58.065,62.857,69.643,False,0
20,SVC,Gender,randome,fscores,baseline,num_streamlines,6.54,roc_auc_ovr_weighted,232,97.414,97.872,98.225,100.0,71.113,69.355,72.464,88.971,False,0
21,SVC,Gender,randome,t_test,baseline,mean_strl,6.483,roc_auc_ovr_weighted,226,99.138,99.291,99.401,100.0,69.538,69.355,67.797,75.945,False,0
22,SVC,Gender,randome,fscores,baseline,mean_FA,6.311,roc_auc_ovr_weighted,225,85.864,87.943,90.503,97.736,59.874,58.065,62.857,70.116,False,0
23,SVC,Gender,randome,t_test,baseline,num_streamlines,6.168,roc_auc_ovr_weighted,215,84.483,87.234,90.217,99.231,68.803,66.129,72.0,90.336,False,0
24,SVC,Gender,randome,fscores,baseline,num_streamlines,6.11,roc_auc_ovr_weighted,215,97.414,97.872,98.225,100.0,71.113,69.355,72.464,88.866,False,0
25,SVC,Gender,randome,t_test,baseline,mean_FA,5.995,roc_auc_ovr_weighted,209,97.414,97.872,98.225,100.0,71.324,70.968,70.0,76.418,False,0
26,SVC,Gender,randome,fscores,baseline,mean_FA,5.967,roc_auc_ovr_weighted,211,85.002,87.234,90.0,97.445,59.874,58.065,62.857,70.798,False,0
27,SVC,Gender,randome,t_test,baseline,mean_strl,5.881,roc_auc_ovr_weighted,205,97.414,97.872,98.225,100.0,71.324,70.968,70.0,76.786,False,0
28,SVC,Gender,randome,fscores,baseline,mean_FA,5.68,roc_auc_ovr_weighted,199,96.552,97.163,97.647,100.0,66.071,64.516,67.647,74.685,False,0
29,SVC,Gender,randome,t_test,baseline,mean_strl,5.622,roc_auc_ovr_weighted,196,97.414,97.872,98.225,99.979,71.324,70.968,70.0,76.786,False,0
30,SVC,Gender,randome,fscores,baseline,num_streamlines,5.594,roc_auc_ovr_weighted,195,97.414,97.872,98.225,100.0,72.584,70.968,73.529,88.866,False,0
31,SVC,Gender,randome,t_test,baseline,mean_FA,5.393,roc_auc_ovr_weighted,188,94.225,95.035,95.906,98.047,72.479,72.581,70.175,80.987,False,0
32,SVC,Gender,randome,fscores,baseline,mean_FA,5.307,roc_auc_ovr_weighted,186,83.538,85.816,88.889,96.926,58.088,56.452,60.87,71.639,False,0
33,SVC,Gender,randome,fscores,baseline,mean_strl,5.25,roc_auc_ovr_weighted,183,82.935,85.106,88.268,96.843,58.088,56.452,60.87,71.534,False,0
34,SVC,Gender,randome,t_test,baseline,num_streamlines,5.221,roc_auc_ovr_weighted,182,100.0,100.0,100.0,100.0,76.996,75.806,76.923,89.181,False,0
35,SVC,Gender,randome,t_test,baseline,mean_strl,5.077,roc_auc_ovr_weighted,177,91.899,92.908,94.186,97.673,69.538,69.355,67.797,76.366,False,0
36,SVC,Gender,randome,fscores,baseline,mean_FA,5.049,roc_auc_ovr_weighted,178,84.057,85.816,88.636,91.587,66.912,66.129,66.667,75.945,False,0
37,SVC,Gender,randome,fscores,baseline,mean_strl,4.905,roc_auc_ovr_weighted,172,84.576,85.816,88.372,92.833,69.853,69.355,68.852,77.416,False,0
38,SVC,Gender,randome,fscores,baseline,num_streamlines,4.819,roc_auc_ovr_weighted,168,100.0,100.0,100.0,100.0,79.937,79.032,79.365,89.601,False,0
39,SVC,Gender,randome,fscores,baseline,mean_FA,4.733,roc_auc_ovr_weighted,168,82.935,85.106,88.268,96.552,59.874,58.065,62.857,71.534,False,0
40,SVC,Gender,randome,t_test,baseline,num_streamlines,4.647,roc_auc_ovr_weighted,162,100.0,100.0,100.0,100.0,79.937,79.032,79.365,89.916,False,0
41,SVC,Gender,randome,t_test,baseline,mean_strl,4.418,roc_auc_ovr_weighted,154,78.552,78.723,81.481,83.943,61.239,61.29,58.621,67.752,False,0
42,SVC,Gender,randome,fscores,baseline,num_streamlines,4.389,roc_auc_ovr_weighted,153,97.414,97.872,98.225,100.0,72.584,70.968,73.529,90.231,False,0
43,SVC,Gender,randome,fscores,baseline,mean_FA,4.217,roc_auc_ovr_weighted,148,84.836,85.816,88.235,92.21,68.067,67.742,66.667,77.311,False,0
