,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_features,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted,Self_loops,ROI_strl_thresh
0,SVC,Openness,test throw median,pearson,baseline,mean_FA,2,balanced_accuracy,70,92.535,92.405,92.105,97.104,61.25,61.111,63.158,57.812,False,0
1,SVC,Openness,test throw median,pearson,baseline,mean_FA,5,balanced_accuracy,175,89.994,89.873,89.474,95.399,55.625,55.556,57.895,60.625,False,0
2,SVC,Openness,test throw median,pearson,baseline,mean_FA,10,balanced_accuracy,349,83.559,83.544,82.667,88.932,50.625,50.0,50.0,57.187,False,0
3,SVC,Openness,test throw median,pearson,baseline,mean_FA,50,balanced_accuracy,1743,100.0,100.0,100.0,0.0,50.0,55.556,71.429,35.0,False,0
4,SVC,Openness,test throw median,pearson,baseline,mean_FA,100,balanced_accuracy,3486,62.902,63.291,59.155,58.623,40.0,38.889,35.294,33.594,False,0
5,SVC,Extraversion,test throw median,pearson,baseline,num_streamlines,2,balanced_accuracy,70,91.865,92.308,91.176,98.214,72.807,72.973,75.0,80.409,False,0
6,SVC,Extraversion,test throw median,pearson,baseline,num_streamlines,5,balanced_accuracy,175,97.222,97.436,97.143,99.934,67.251,67.568,71.429,73.977,False,0
7,SVC,Extraversion,test throw median,pearson,baseline,num_streamlines,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,64.181,64.865,72.34,71.637,False,0
8,SVC,Extraversion,test throw median,pearson,baseline,num_streamlines,50,balanced_accuracy,1781,100.0,100.0,100.0,100.0,62.135,62.162,63.158,74.561,False,0
9,SVC,Extraversion,test throw median,pearson,baseline,num_streamlines,100,balanced_accuracy,3486,100.0,100.0,100.0,0.0,50.0,48.649,0.0,49.708,False,0
10,SVC,Extraversion,test throw median,pearson,baseline,mean_strl,2,balanced_accuracy,70,85.317,85.897,83.582,92.923,62.427,62.162,58.824,59.649,False,0
11,SVC,Extraversion,test throw median,pearson,baseline,mean_strl,5,balanced_accuracy,175,90.675,91.026,89.855,92.857,51.462,51.351,50.0,53.801,False,0
12,SVC,Extraversion,test throw median,pearson,baseline,mean_strl,10,balanced_accuracy,350,89.286,89.744,88.235,91.601,43.421,43.243,40.0,50.292,False,0
13,SVC,Extraversion,test throw median,pearson,baseline,mean_strl,50,balanced_accuracy,1791,100.0,100.0,100.0,0.0,52.632,51.351,10.0,65.205,False,0
14,SVC,Extraversion,test throw median,pearson,baseline,mean_strl,100,balanced_accuracy,3486,56.151,56.41,52.778,48.611,53.947,54.054,56.41,44.152,False,0
15,SVC,Agreeableness,test throw median,pearson,baseline,mean_FA,2,balanced_accuracy,70,88.939,89.041,87.879,94.621,44.968,48.718,60.0,48.701,False,0
16,SVC,Agreeableness,test throw median,pearson,baseline,mean_FA,5,balanced_accuracy,175,90.455,90.411,89.552,94.924,44.968,48.718,60.0,51.623,False,0
17,SVC,Agreeableness,test throw median,pearson,baseline,mean_FA,10,balanced_accuracy,349,91.97,91.781,91.176,95.985,40.422,46.154,58.824,46.104,False,0
18,SVC,Agreeableness,test throw median,pearson,baseline,mean_FA,50,balanced_accuracy,1743,100.0,100.0,100.0,0.0,51.786,30.769,6.897,63.636,False,0
19,SVC,Agreeableness,test throw median,pearson,baseline,mean_FA,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,50.812,33.333,18.75,42.532,False,0
20,SVC,Conscientiousness,test throw median,pearson,baseline,mean_strl,2,balanced_accuracy,70,96.303,96.25,96.104,99.624,50.0,51.429,41.379,55.782,False,0
21,SVC,Conscientiousness,test throw median,pearson,baseline,mean_strl,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,42.857,42.857,37.5,48.639,False,0
22,SVC,Conscientiousness,test throw median,pearson,baseline,mean_strl,10,balanced_accuracy,349,80.764,81.25,78.261,93.546,44.048,45.714,34.483,38.776,False,0
23,SVC,Conscientiousness,test throw median,pearson,baseline,mean_strl,50,balanced_accuracy,1743,59.085,58.75,60.241,41.165,39.286,40.0,32.258,61.565,False,0
24,SVC,Conscientiousness,test throw median,pearson,baseline,mean_strl,100,balanced_accuracy,3486,46.053,46.25,42.667,52.224,36.905,37.143,31.25,65.306,False,0
25,SVC,Neuroticism,test throw median,pearson,baseline,mean_FA,2,balanced_accuracy,70,93.673,93.827,93.151,98.71,47.47,46.667,47.826,44.737,False,0
26,SVC,Neuroticism,test throw median,pearson,baseline,mean_FA,5,balanced_accuracy,175,85.289,85.185,84.211,95.577,42.915,42.222,43.478,45.344,False,0
27,SVC,Neuroticism,test throw median,pearson,baseline,mean_FA,10,balanced_accuracy,349,80.098,80.247,78.378,91.093,40.992,40.0,40.0,45.142,False,0
28,SVC,Neuroticism,test throw median,pearson,baseline,mean_FA,50,balanced_accuracy,1743,71.929,71.605,70.886,18.366,44.13,44.444,48.98,57.692,False,0
29,SVC,Neuroticism,test throw median,pearson,baseline,mean_FA,100,balanced_accuracy,3486,98.864,98.765,98.667,100.0,44.534,40.0,22.857,41.7,False,0
30,SVC,Openness,test throw median,pearson,baseline,mean_strl,2,balanced_accuracy,70,92.535,92.405,92.105,97.104,61.25,61.111,63.158,57.969,False,0
31,SVC,Openness,test throw median,pearson,baseline,mean_strl,5,balanced_accuracy,175,89.994,89.873,89.474,95.335,55.625,55.556,57.895,60.938,False,0
32,SVC,Openness,test throw median,pearson,baseline,mean_strl,10,balanced_accuracy,349,83.559,83.544,82.667,88.9,50.625,50.0,50.0,57.188,False,0
33,SVC,Openness,test throw median,pearson,baseline,mean_strl,50,balanced_accuracy,1743,100.0,100.0,100.0,0.0,50.0,55.556,71.429,35.0,False,0
34,SVC,Openness,test throw median,pearson,baseline,mean_strl,100,balanced_accuracy,3486,62.902,63.291,59.155,58.752,40.0,38.889,35.294,33.75,False,0
35,SVC,Openness,test throw median,pearson,baseline,num_streamlines,2,balanced_accuracy,70,91.023,91.139,90.411,96.075,56.25,55.556,55.556,53.438,False,0
36,SVC,Openness,test throw median,pearson,baseline,num_streamlines,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,56.25,58.333,66.667,59.375,False,0
37,SVC,Openness,test throw median,pearson,baseline,num_streamlines,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,61.25,63.889,72.34,62.813,False,0
38,SVC,Openness,test throw median,pearson,baseline,num_streamlines,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,57.5,58.333,63.415,60.156,False,0
39,SVC,Openness,test throw median,pearson,baseline,num_streamlines,100,balanced_accuracy,3486,51.351,54.43,5.263,0.0,50.0,44.444,0.0,54.062,False,0
40,SVC,Neuroticism,test throw median,pearson,baseline,mean_strl,2,balanced_accuracy,70,93.673,93.827,93.151,98.71,47.47,46.667,47.826,44.737,False,0
41,SVC,Neuroticism,test throw median,pearson,baseline,mean_strl,5,balanced_accuracy,175,85.289,85.185,84.211,95.577,42.915,42.222,43.478,45.344,False,0
42,SVC,Neuroticism,test throw median,pearson,baseline,mean_strl,10,balanced_accuracy,349,80.098,80.247,78.378,91.093,40.992,40.0,40.0,45.142,False,0
43,SVC,Neuroticism,test throw median,pearson,baseline,mean_strl,50,balanced_accuracy,1743,71.929,71.605,70.886,18.305,44.13,44.444,48.98,57.692,False,0
44,SVC,Neuroticism,test throw median,pearson,baseline,mean_strl,100,balanced_accuracy,3486,98.864,98.765,98.667,100.0,44.534,40.0,22.857,41.7,False,0
45,SVC,Agreeableness,test throw median,pearson,baseline,mean_strl,2,balanced_accuracy,70,88.939,89.041,87.879,94.621,44.968,48.718,60.0,48.701,False,0
46,SVC,Agreeableness,test throw median,pearson,baseline,mean_strl,5,balanced_accuracy,175,90.455,90.411,89.552,95.0,44.968,48.718,60.0,51.623,False,0
47,SVC,Agreeableness,test throw median,pearson,baseline,mean_strl,10,balanced_accuracy,349,91.97,91.781,91.176,95.985,40.422,46.154,58.824,46.104,False,0
48,SVC,Agreeableness,test throw median,pearson,baseline,mean_strl,50,balanced_accuracy,1743,100.0,100.0,100.0,0.0,51.786,30.769,6.897,63.636,False,0
49,SVC,Agreeableness,test throw median,pearson,baseline,mean_strl,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,50.812,33.333,18.75,42.532,False,0
50,SVC,Conscientiousness,test throw median,pearson,baseline,mean_FA,2,balanced_accuracy,70,96.303,96.25,96.104,99.561,50.0,51.429,41.379,55.782,False,0
51,SVC,Conscientiousness,test throw median,pearson,baseline,mean_FA,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,42.857,42.857,37.5,48.639,False,0
52,SVC,Conscientiousness,test throw median,pearson,baseline,mean_FA,10,balanced_accuracy,349,80.764,81.25,78.261,93.64,44.048,45.714,34.483,38.776,False,0
53,SVC,Conscientiousness,test throw median,pearson,baseline,mean_FA,50,balanced_accuracy,1743,59.085,58.75,60.241,41.165,39.286,40.0,32.258,61.395,False,0
54,SVC,Conscientiousness,test throw median,pearson,baseline,mean_FA,100,balanced_accuracy,3486,46.053,46.25,42.667,47.556,36.905,37.143,31.25,34.694,False,0
55,SVC,Conscientiousness,test throw median,pearson,baseline,num_streamlines,2,balanced_accuracy,70,94.862,95.0,94.595,99.373,65.476,62.857,62.857,69.728,False,0
56,SVC,Conscientiousness,test throw median,pearson,baseline,num_streamlines,5,balanced_accuracy,175,97.494,97.5,97.368,99.749,55.952,51.429,56.41,63.605,False,0
57,SVC,Conscientiousness,test throw median,pearson,baseline,num_streamlines,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,53.571,48.571,55.0,63.946,False,0
58,SVC,Conscientiousness,test throw median,pearson,baseline,num_streamlines,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,51.19,48.571,50.0,60.884,False,0
59,SVC,Conscientiousness,test throw median,pearson,baseline,num_streamlines,100,balanced_accuracy,3486,82.456,82.5,81.579,22.744,59.524,60.0,53.333,36.395,False,0
60,SVC,Neuroticism,test throw median,pearson,baseline,num_streamlines,2,balanced_accuracy,70,97.297,97.531,97.222,99.939,46.255,44.444,41.86,38.866,False,0
61,SVC,Neuroticism,test throw median,pearson,baseline,num_streamlines,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,47.976,48.889,54.902,42.713,False,0
62,SVC,Neuroticism,test throw median,pearson,baseline,num_streamlines,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,51.113,53.333,61.818,48.785,False,0
63,SVC,Neuroticism,test throw median,pearson,baseline,num_streamlines,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,49.393,48.889,51.064,51.822,False,0
64,SVC,Neuroticism,test throw median,pearson,baseline,num_streamlines,100,balanced_accuracy,3486,62.408,61.728,62.651,63.698,51.316,51.111,54.167,44.534,False,0
65,SVC,Extraversion,test throw median,pearson,baseline,mean_FA,2,balanced_accuracy,70,85.317,85.897,83.582,92.923,62.427,62.162,58.824,59.503,False,0
66,SVC,Extraversion,test throw median,pearson,baseline,mean_FA,5,balanced_accuracy,175,90.675,91.026,89.855,92.857,51.462,51.351,50.0,53.509,False,0
67,SVC,Extraversion,test throw median,pearson,baseline,mean_FA,10,balanced_accuracy,350,89.286,89.744,88.235,91.601,43.421,43.243,40.0,50.292,False,0
68,SVC,Extraversion,test throw median,pearson,baseline,mean_FA,50,balanced_accuracy,1791,100.0,100.0,100.0,0.0,52.632,51.351,10.0,65.205,False,0
69,SVC,Extraversion,test throw median,pearson,baseline,mean_FA,100,balanced_accuracy,3486,56.151,56.41,52.778,48.545,53.947,54.054,56.41,44.152,False,0
70,SVC,Agreeableness,test throw median,pearson,baseline,num_streamlines,2,balanced_accuracy,70,91.174,91.781,90.323,98.788,44.156,43.59,52.174,43.506,False,0
71,SVC,Agreeableness,test throw median,pearson,baseline,num_streamlines,5,balanced_accuracy,175,98.75,98.63,98.507,100.0,34.903,46.154,61.818,36.364,False,0
72,SVC,Agreeableness,test throw median,pearson,baseline,num_streamlines,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,46.591,58.974,72.414,39.61,False,0
73,SVC,Agreeableness,test throw median,pearson,baseline,num_streamlines,50,balanced_accuracy,1744,100.0,100.0,100.0,100.0,42.208,48.718,61.538,40.26,False,0
74,SVC,Agreeableness,test throw median,pearson,baseline,num_streamlines,100,balanced_accuracy,3486,90.455,90.411,89.552,16.515,41.234,51.282,65.455,58.117,False,0
75,SVC,Openness,keep median,pearson,baseline,mean_FA,2,balanced_accuracy,70,92.535,92.405,92.105,97.104,39.074,40.426,48.148,32.407,False,0
