,Unnamed: 0,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num edges,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
0,0,SVC,Openness,test throw median,pearson,solver,mean_FA,4.532,balanced_accuracy,158,63.771,64.557,57.576,67.503,40.625,38.889,31.25,42.812
1,1,SVC,Extraversion,test throw median,pearson,solver,num_streamlines,4.475,balanced_accuracy,156,100.0,100.0,100.0,0.0,46.199,45.946000000000005,41.176,54.678000000000004
2,2,SVC,Extraversion,test throw median,pearson,solver,mean_strl,4.418,balanced_accuracy,154,65.278,65.385,63.013999999999996,35.549,59.357,59.458999999999996,61.538000000000004,46.49100000000001
3,3,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,4.388999999999999,balanced_accuracy,153,100.0,100.0,100.0,100.0,46.916000000000004,43.59,50.0,48.701
4,4,SVC,Conscientiousness,test throw median,pearson,solver,mean_strl,4.36,balanced_accuracy,152,59.085,58.75,60.24100000000001,48.872,42.857,42.857,37.5,58.843999999999994
5,5,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,4.332,balanced_accuracy,151,92.322,92.59299999999999,91.667,98.15700000000001,51.518,48.888999999999996,43.902,60.121
6,6,SVC,Openness,test throw median,pearson,solver,mean_strl,4.303,balanced_accuracy,150,67.664,68.354,62.687,79.858,40.0,38.889,35.294000000000004,44.062
7,7,SVC,Openness,test throw median,pearson,solver,num_streamlines,4.274,balanced_accuracy,149,100.0,100.0,100.0,0.0,55.625,55.556000000000004,57.895,44.375
8,8,SVC,Neuroticism,test throw median,pearson,solver,mean_strl,4.188,balanced_accuracy,146,100.0,100.0,100.0,0.0,40.586999999999996,44.443999999999996,57.626999999999995,73.077
9,9,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,4.131,balanced_accuracy,144,100.0,100.0,100.0,0.0,56.818000000000005,53.846000000000004,60.87,54.545
10,10,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,4.102,balanced_accuracy,143,100.0,100.0,100.0,100.0,54.762,54.286,50.0,67.347
11,11,SVC,Openness,test throw median,pearson,solver,mean_FA,4.073,balanced_accuracy,142,94.916,94.93700000000001,94.595,99.228,35.0,33.333,25.0,38.75
12,12,SVC,Neuroticism,test throw median,pearson,solver,mean_strl,4.016,balanced_accuracy,140,67.53699999999999,65.432,70.833,20.546999999999997,52.833999999999996,57.778,69.84100000000001,52.227
13,13,SVC,Conscientiousness,test throw median,pearson,solver,num_streamlines,3.987,balanced_accuracy,139,100.0,100.0,100.0,100.0,50.0,48.571000000000005,47.059,55.782
14,14,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,3.9589999999999996,balanced_accuracy,138,100.0,100.0,100.0,100.0,46.916000000000004,43.59,50.0,46.753
15,15,SVC,Conscientiousness,test throw median,pearson,solver,mean_strl,3.9010000000000002,balanced_accuracy,136,56.328,56.25,55.696000000000005,47.681999999999995,46.428999999999995,48.571000000000005,35.714,58.843999999999994
16,16,SVC,Openness,test throw median,pearson,solver,mean_strl,3.844,balanced_accuracy,134,61.068000000000005,62.025,53.125,68.66199999999999,37.5,36.111,30.303,42.812
17,17,SVC,Openness,test throw median,pearson,solver,num_streamlines,3.787,balanced_accuracy,132,98.649,98.734,98.63,99.743,63.125,63.888999999999996,68.293,64.375
18,18,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,3.758,balanced_accuracy,131,100.0,100.0,100.0,100.0,48.684,48.888999999999996,53.06100000000001,55.263000000000005
19,19,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,3.7289999999999996,balanced_accuracy,130,100.0,100.0,100.0,100.0,59.578,53.846000000000004,59.091,57.143
20,20,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,3.701,balanced_accuracy,129,78.008,78.75,73.846,82.456,52.381,54.286,42.857,51.361000000000004
21,21,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,3.6430000000000002,balanced_accuracy,127,100.0,100.0,100.0,100.0,40.486,37.778,30.0,40.891
22,22,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,3.614,balanced_accuracy,126,98.75,98.63,98.507,0.152,58.604,56.41,63.83,52.922
23,23,SVC,Extraversion,test throw median,pearson,solver,mean_strl,3.557,balanced_accuracy,124,97.421,97.436,97.22200000000001,3.042,62.281000000000006,62.162,61.111000000000004,40.058
24,24,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,3.528,balanced_accuracy,123,100.0,100.0,100.0,100.0,53.247,48.718,54.545,51.623000000000005
25,25,SVC,Neuroticism,test throw median,pearson,solver,num_streamlines,3.5,balanced_accuracy,122,76.96600000000001,77.778,73.529,82.432,52.023999999999994,51.111000000000004,52.174,50.607
26,26,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,3.4419999999999997,balanced_accuracy,120,53.946999999999996,56.25,14.634,29.605,50.0,60.0,0.0,72.109
27,27,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,3.3280000000000003,balanced_accuracy,116,100.0,100.0,100.0,100.0,52.273,51.282,59.574,56.169
28,28,SVC,Extraversion,test throw median,pearson,solver,mean_FA,3.299,balanced_accuracy,115,98.611,98.71799999999999,98.59200000000001,0.0,70.322,70.27,70.27,29.531999999999996
29,29,SVC,Openness,test throw median,pearson,solver,mean_strl,3.27,balanced_accuracy,114,86.80799999999999,87.34200000000001,85.294,97.104,43.75,41.667,32.258,34.375
30,30,SVC,Neuroticism,test throw median,pearson,solver,mean_strl,3.242,balanced_accuracy,113,50.0,54.321000000000005,0.0,23.28,50.0,42.222,0.0,56.478
31,31,SVC,Extraversion,test throw median,pearson,solver,mean_FA,3.213,balanced_accuracy,112,97.22200000000001,97.436,97.14299999999999,99.934,56.871,56.757,55.556000000000004,59.942
32,32,SVC,Conscientiousness,test throw median,pearson,solver,mean_strl,3.1839999999999997,balanced_accuracy,111,50.0,52.5,0.0,37.845,50.0,60.0,0.0,65.306
33,33,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,3.155,balanced_accuracy,110,85.074,85.185,83.78399999999999,5.59,56.073,53.333,48.78,31.275
34,34,SVC,Openness,test throw median,pearson,solver,mean_FA,3.127,balanced_accuracy,109,63.771,64.557,57.576,67.72800000000001,43.75,41.667,32.258,44.688
35,35,SVC,Conscientiousness,test throw median,pearson,solver,num_streamlines,3.0980000000000003,balanced_accuracy,108,100.0,100.0,100.0,100.0,58.333,60.0,50.0,58.843999999999994
36,36,SVC,Openness,test throw median,pearson,solver,num_streamlines,3.069,balanced_accuracy,107,70.84899999999999,70.88600000000001,69.333,63.835,51.25,50.0,47.059,55.625
37,37,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,3.0410000000000004,balanced_accuracy,106,100.0,100.0,100.0,0.0,48.701,46.153999999999996,53.333,59.578
38,38,SVC,Agreeableness,test throw median,pearson,solver,num_streamlines,2.897,balanced_accuracy,101,50.0,54.795,0.0,24.090999999999998,50.0,28.205,0.0,45.778999999999996
39,39,SVC,Conscientiousness,test throw median,pearson,solver,num_streamlines,2.8689999999999998,balanced_accuracy,100,100.0,100.0,100.0,0.0,61.905,65.714,50.0,40.816
40,40,SVC,Neuroticism,test throw median,pearson,solver,mean_strl,2.84,balanced_accuracy,99,66.093,66.667,61.972,65.44800000000001,48.178000000000004,46.667,45.455,42.51
41,41,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,2.8110000000000004,balanced_accuracy,98,100.0,100.0,100.0,0.0,33.117,43.59,59.25899999999999,63.636
42,42,SVC,Extraversion,test throw median,pearson,solver,mean_FA,2.783,balanced_accuracy,97,65.476,65.385,64.0,59.854,59.357,59.458999999999996,61.538000000000004,50.876999999999995
43,43,SVC,Openness,test throw median,pearson,solver,mean_FA,2.7539999999999996,balanced_accuracy,96,78.861,79.747,75.0,94.755,46.25,44.443999999999996,37.5,44.218999999999994
44,44,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,2.725,balanced_accuracy,95,92.689,93.15100000000001,92.06299999999999,96.515,50.325,56.41,67.925,43.181999999999995
