,Feature_type,Target,Edge,Node_weights,Input_Graph_nodes,Input_Graph_edges,Input_graph_posedge_per,Output_Graph_nodes,Output_Graph_edges,Output_graph_posedge_per,Features_preserved_per,ROI_strl_thresh
0,mean_strl,Conscientiousness,pearson,-0.01,84,1093,100.0,30,338,100.0,9.468,0
1,num_streamlines,Openness,pearson,-0.01,84,1087,100.0,30,336,100.0,9.412,0
2,mean_FA,Extraversion,pearson,-0.01,84,1101,100.0,30,333,100.0,9.328,0
3,mean_strl,Extraversion,pearson,-0.01,84,1093,100.0,30,330,100.0,9.244,0
4,num_streamlines,Conscientiousness,pearson,-0.01,84,1097,100.0,30,329,100.0,9.216,0
5,mean_FA,Neuroticism,pearson,-0.01,84,1080,100.0,30,327,100.0,9.16,0
6,mean_FA,Openness,pearson,-0.01,84,1089,100.0,30,320,100.0,8.964,0
7,mean_FA,Agreeableness,pearson,-0.01,84,1073,100.0,30,309,100.0,8.655,0
8,mean_strl,Neuroticism,pearson,-0.01,84,1082,100.0,30,300,100.0,8.403,0
9,mean_FA,Conscientiousness,pearson,-0.01,84,1091,100.0,30,297,100.0,8.319,0
10,num_streamlines,Agreeableness,pearson,-0.01,84,1072,100.0,30,282,100.0,7.899,0
11,num_streamlines,Conscientiousness,pearson,-0.01,84,1097,100.0,25,255,100.0,7.143,0
12,mean_strl,Conscientiousness,pearson,-0.01,84,1093,100.0,25,250,100.0,7.003,0
13,mean_FA,Openness,pearson,-0.01,84,1089,100.0,25,248,100.0,6.947,0
14,num_streamlines,Openness,pearson,-0.01,84,1087,100.0,25,247,100.0,6.919,0
15,mean_FA,Neuroticism,pearson,-0.01,84,1080,100.0,25,245,100.0,6.863,0
16,num_streamlines,Neuroticism,pearson,-0.01,84,1079,100.0,25,244,100.0,6.835,0
17,mean_FA,Extraversion,pearson,-0.01,84,1101,100.0,25,242,100.0,6.779,0
18,mean_strl,Extraversion,pearson,-0.01,84,1093,100.0,25,240,100.0,6.723,0
19,mean_strl,Agreeableness,pearson,-0.01,84,1073,100.0,25,239,100.0,6.695,0
20,mean_FA,Conscientiousness,pearson,-0.01,84,1091,100.0,25,233,100.0,6.527,0
21,num_streamlines,Extraversion,pearson,-0.01,84,1098,100.0,25,231,100.0,6.471,0
22,mean_FA,Agreeableness,pearson,-0.01,84,1073,100.0,25,230,100.0,6.443,0
23,mean_strl,Neuroticism,pearson,-0.01,84,1082,100.0,25,224,100.0,6.275,0
24,mean_strl,Conscientiousness,pearson,-0.01,84,1093,100.0,20,174,100.0,4.874,0
25,mean_FA,Neuroticism,pearson,-0.01,84,1080,100.0,20,173,100.0,4.846,0
26,mean_FA,Openness,pearson,-0.01,84,1089,100.0,20,171,100.0,4.79,0
27,mean_FA,Conscientiousness,pearson,-0.01,84,1091,100.0,20,170,100.0,4.762,0
28,num_streamlines,Conscientiousness,pearson,-0.01,84,1097,100.0,20,168,100.0,4.706,0
29,mean_strl,Extraversion,pearson,-0.01,84,1093,100.0,20,165,100.0,4.622,0
30,num_streamlines,Extraversion,pearson,-0.01,84,1098,100.0,20,164,100.0,4.594,0
31,mean_FA,Extraversion,pearson,-0.01,84,1101,100.0,20,161,100.0,4.51,0
32,mean_FA,Agreeableness,pearson,-0.01,84,1073,100.0,20,154,100.0,4.314,0
33,num_streamlines,Openness,pearson,-0.01,84,1087,100.0,20,150,100.0,4.202,0
34,mean_strl,Neuroticism,pearson,-0.01,84,1082,100.0,20,147,100.0,4.118,0
35,num_streamlines,Agreeableness,pearson,-0.01,84,1072,100.0,20,145,100.0,4.062,0
36,num_streamlines,Agreeableness,pearson,-0.01,84,1072,100.0,15,101,100.0,2.829,0
37,num_streamlines,Conscientiousness,pearson,-0.01,84,1097,100.0,15,100,100.0,2.801,0
38,num_streamlines,Openness,pearson,-0.01,84,1087,100.0,15,99,100.0,2.773,0
39,mean_strl,Agreeableness,pearson,-0.01,84,1073,100.0,15,98,100.0,2.745,0
40,mean_FA,Extraversion,pearson,-0.01,84,1101,100.0,15,97,100.0,2.717,0
41,mean_FA,Openness,pearson,-0.01,84,1089,100.0,15,96,100.0,2.689,0
42,mean_FA,Agreeableness,pearson,-0.01,84,1073,100.0,15,95,100.0,2.661,0
43,mean_FA,Neuroticism,pearson,-0.01,84,1080,100.0,15,94,100.0,2.633,0
44,mean_strl,Extraversion,pearson,-0.01,84,1093,100.0,15,92,100.0,2.577,0
45,mean_FA,Conscientiousness,pearson,-0.01,84,1091,100.0,15,91,100.0,2.549,0
46,num_streamlines,Extraversion,pearson,-0.01,84,1098,100.0,15,87,100.0,2.437,0
47,mean_strl,Neuroticism,pearson,-0.01,84,1082,100.0,10,45,100.0,1.261,0
48,mean_FA,Openness,pearson,-0.01,84,1089,100.0,10,44,100.0,1.232,0
49,mean_FA,Extraversion,pearson,-0.01,84,1101,100.0,10,43,100.0,1.204,0
50,mean_FA,Agreeableness,pearson,-0.01,84,1073,100.0,10,42,100.0,1.176,0
51,mean_strl,Extraversion,pearson,-0.01,84,1093,100.0,10,41,100.0,1.148,0
52,num_streamlines,Extraversion,pearson,-0.01,84,1098,100.0,10,40,100.0,1.12,0
53,mean_FA,Conscientiousness,pearson,-0.01,84,1091,100.0,10,37,100.0,1.036,0
54,mean_FA,Agreeableness,pearson,-0.01,84,1073,100.0,5,10,100.0,0.28,0
55,mean_strl,Conscientiousness,pearson,-0.01,84,1093,100.0,5,9,100.0,0.252,0
56,mean_strl,Extraversion,pearson,-0.01,84,1093,100.0,5,8,100.0,0.224,0
