,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_nodes,Num edges,% Positive edges,ROI_strl_thresh,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
0,SVC,Conscientiousness,test throw median,pearson,solver,mean_strl,10.252,balanced_accuracy,30,366,100.0,0.001,56.134,56.364,52.941,44.761,47.857,46.939,35.0,54.49
1,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,10.224,balanced_accuracy,30,365,100.0,0.001,68.519,66.949,70.677,74.971,54.181,55.102,62.069,58.027
2,SVC,Openness,test throw median,pearson,solver,mean_FA,10.056,balanced_accuracy,30,359,100.0,0.001,60.677,61.607,54.737,68.145,50.078,49.02,45.833,50.621
3,SVC,Conscientiousness,test throw median,pearson,solver,num_streamlines,10.028,balanced_accuracy,30,358,100.0,0.001,65.617,66.364,59.341,27.47,45.0,61.224,9.524,56.735
4,SVC,Extraversion,test throw median,pearson,solver,mean_strl,9.972,balanced_accuracy,30,356,100.0,0.001,59.25,59.322,57.143,41.342,59.545,59.574,61.224,46.818
5,SVC,Extraversion,test throw median,pearson,solver,mean_FA,9.944,balanced_accuracy,30,355,100.0,0.001,58.456,58.475,56.637,57.403,46.182,46.809,52.83,49.545
6,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,9.888,balanced_accuracy,30,353,100.0,0.001,100.0,100.0,100.0,0.0,51.034,53.061,41.026,48.966
7,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,9.832,balanced_accuracy,30,351,100.0,0.001,97.245,97.479,96.907,97.376,61.207,63.265,52.632,57.931
8,SVC,Openness,test throw median,pearson,solver,num_streamlines,9.776,balanced_accuracy,30,349,100.0,0.001,100.0,100.0,100.0,100.0,51.863,50.98,48.98,55.745
9,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,9.748,balanced_accuracy,30,348,100.0,0.001,100.0,100.0,100.0,100.0,47.857,53.061,30.303,41.02
10,SVC,Agreeableness,test throw median,pearson,solver,num_streamlines,9.3,balanced_accuracy,30,332,100.0,0.001,79.286,80.672,75.269,89.883,53.879,59.184,33.333,46.897
11,SVC,Openness,test throw median,pearson,solver,mean_strl,9.244,balanced_accuracy,30,330,100.0,0.001,71.935,73.214,66.667,82.403,57.609,56.863,56.0,55.823
12,SVC,Openness,test throw median,pearson,solver,mean_strl,7.563,balanced_accuracy,25,270,100.0,0.001,94.581,94.643,94.0,91.081,57.22,56.863,57.692,56.056
13,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,7.423,balanced_accuracy,25,265,100.0,0.001,62.959,64.706,55.319,65.044,40.862,42.857,30.0,39.828
14,SVC,Conscientiousness,test throw median,pearson,solver,num_streamlines,7.395,balanced_accuracy,25,264,100.0,0.001,75.232,75.455,73.267,85.577,55.714,61.224,38.71,45.204
15,SVC,Extraversion,test throw median,pearson,solver,num_streamlines,7.339,balanced_accuracy,25,262,100.0,0.001,100.0,100.0,100.0,0.0,53.455,51.064,25.806,47.091
16,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,7.283,balanced_accuracy,25,260,100.0,0.001,64.468,62.712,67.647,73.003,52.007,53.061,61.017,58.696
17,SVC,Neuroticism,test throw median,pearson,solver,mean_strl,7.227,balanced_accuracy,25,258,100.0,0.001,77.17,77.119,75.676,75.203,44.064,44.898,52.632,43.144
18,SVC,Conscientiousness,test throw median,pearson,solver,mean_strl,7.199,balanced_accuracy,25,257,100.0,0.001,80.603,80.909,78.788,87.069,50.0,59.184,28.571,53.469
19,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,7.171,balanced_accuracy,25,256,100.0,0.001,100.0,100.0,100.0,0.0,44.483,48.98,24.242,52.586
20,SVC,Extraversion,test throw median,pearson,solver,mean_strl,7.087,balanced_accuracy,25,253,100.0,0.001,94.776,94.915,94.444,0.635,56.364,55.319,48.78,44.182
21,SVC,Openness,test throw median,pearson,solver,mean_FA,7.031,balanced_accuracy,25,251,100.0,0.001,65.903,66.964,60.215,68.79,56.211,54.902,51.064,54.193
22,SVC,Extraversion,test throw median,pearson,solver,mean_FA,6.891,balanced_accuracy,25,246,100.0,0.001,100.0,100.0,100.0,0.0,43.545,42.553,34.146,53.364
23,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,6.835,balanced_accuracy,30,244,100.0,0.005,98.98,99.16,98.969,97.959,40.69,40.816,35.556,39.483
24,SVC,Conscientiousness,test throw median,pearson,solver,num_streamlines,6.807,balanced_accuracy,30,243,100.0,0.005,52.885,52.727,52.727,44.463,44.286,51.02,25.0,34.49
25,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,6.779,balanced_accuracy,30,242,100.0,0.005,100.0,100.0,100.0,100.0,56.034,57.143,48.78,52.759
26,SVC,Conscientiousness,test throw median,pearson,solver,mean_strl,6.751,balanced_accuracy,30,241,100.0,0.005,98.176,98.182,98.077,99.867,50.0,46.939,38.095,49.49
27,SVC,Conscientiousness,test throw median,pearson,solver,mean_strl,6.359,balanced_accuracy,30,227,100.0,0.006,99.138,99.091,99.048,99.934,47.857,46.939,35.0,47.959
28,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,6.723,balanced_accuracy,30,240,100.0,0.006,98.98,99.16,98.969,98.659,36.034,40.816,12.121,38.966
29,SVC,Agreeableness,test throw median,pearson,solver,num_streamlines,6.667,balanced_accuracy,25,238,100.0,0.001,70.306,72.269,63.736,17.201,50.431,55.102,31.25,56.552
30,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,6.723,balanced_accuracy,30,240,100.0,0.006,98.98,99.16,98.969,98.659,36.034,40.816,12.121,38.966
31,SVC,Extraversion,test throw median,pearson,solver,mean_FA,6.527,balanced_accuracy,30,233,100.0,0.006,97.388,97.458,97.248,99.769,56.091,55.319,51.163,51.273
32,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,6.583,balanced_accuracy,30,235,100.0,0.005,99.138,99.091,99.048,100.0,35.0,34.694,23.81,37.143
33,SVC,Extraversion,test throw median,pearson,solver,mean_strl,6.499,balanced_accuracy,30,232,100.0,0.006,97.388,97.458,97.248,99.769,56.091,55.319,51.163,51.182
34,SVC,Agreeableness,test throw median,pearson,solver,num_streamlines,5.938,balanced_accuracy,30,212,100.0,0.006,98.265,98.319,97.959,99.913,56.034,57.143,48.78,55.0
35,SVC,Neuroticism,test throw median,pearson,solver,num_streamlines,6.303,balanced_accuracy,30,225,100.0,0.006,100.0,100.0,100.0,100.0,51.338,51.02,50.0,49.331
36,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,6.359,balanced_accuracy,30,227,100.0,0.006,99.138,99.091,99.048,99.934,47.857,46.939,35.0,47.959
37,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,6.303,balanced_accuracy,30,225,100.0,0.005,64.091,63.559,63.866,35.388,57.107,57.143,58.824,41.973
38,SVC,Openness,test throw median,pearson,solver,mean_FA,6.246,balanced_accuracy,30,223,100.0,0.005,64.903,66.071,58.696,71.226,52.64,50.98,44.444,51.553
39,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,6.583,balanced_accuracy,30,235,100.0,0.006,60.532,60.169,59.829,66.233,59.783,59.184,56.522,59.365
40,SVC,Openness,test throw median,pearson,solver,mean_FA,6.246,balanced_accuracy,30,223,100.0,0.006,75.355,76.786,70.455,85.097,47.283,45.098,33.333,52.64
41,SVC,Neuroticism,test throw median,pearson,solver,mean_strl,6.583,balanced_accuracy,30,235,100.0,0.006,60.532,60.169,59.829,66.233,59.783,59.184,56.522,59.365
42,SVC,Neuroticism,test throw median,pearson,solver,mean_strl,5.77,balanced_accuracy,30,206,100.0,0.01,66.811,65.254,69.173,30.816,57.776,59.184,67.742,41.722
43,SVC,Conscientiousness,test throw median,pearson,solver,num_streamlines,5.602,balanced_accuracy,30,200,100.0,0.01,100.0,100.0,100.0,0.0,45.0,48.98,28.571,60.408
44,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,5.574,balanced_accuracy,25,199,100.0,0.005,95.51,95.798,94.845,99.621,60.259,61.224,53.659,56.897
45,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,5.546,balanced_accuracy,30,198,100.0,0.01,100.0,100.0,100.0,0.0,40.259,44.898,18.182,61.724
