Feature_type,Target,Edge,Node_weights,Input_Graph_nodes,Input_Graph_edges,Input_graph_posedge_per,Output_Graph_nodes,Output_Graph_edges,Output_graph_posedge_per,Features_preserved_per,ROI_strl_thresh,Classifier,Choice,Feature Selection,Percentage,Refit Metric,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
mean_strl,Conscientiousness,pearson,-0.01,84,1632,100,30,366,100,10.252,0.001,SVC,test throw median,solver,10.252,balanced_accuracy,56.134,56.364,52.941,44.761,47.857,46.939,35,54.49
mean_FA,Neuroticism,pearson,-0.01,84,1631,100,30,365,100,10.224,0.001,SVC,test throw median,solver,10.224,balanced_accuracy,68.519,66.949,70.677,74.971,54.181,55.102,62.069,58.027
mean_FA,Openness,pearson,-0.01,84,1634,100,30,359,100,10.056,0.001,SVC,test throw median,solver,10.056,balanced_accuracy,60.677,61.607,54.737,68.145,50.078,49.02,45.833,50.621
num_streamlines,Conscientiousness,pearson,-0.01,84,1641,100,30,358,100,10.028,0.001,SVC,test throw median,solver,10.028,balanced_accuracy,65.617,66.364,59.341,27.47,45,61.224,9.524,56.735
mean_strl,Extraversion,pearson,-0.01,84,1628,100,30,356,100,9.972,0.001,SVC,test throw median,solver,9.972,balanced_accuracy,59.25,59.322,57.143,41.342,59.545,59.574,61.224,46.818
mean_FA,Extraversion,pearson,-0.01,84,1638,100,30,355,100,9.944,0.001,SVC,test throw median,solver,9.944,balanced_accuracy,58.456,58.475,56.637,57.403,46.182,46.809,52.83,49.545
mean_FA,Agreeableness,pearson,-0.01,84,1629,100,30,353,100,9.888,0.001,SVC,test throw median,solver,9.888,balanced_accuracy,100,100,100,0,51.034,53.061,41.026,48.966
mean_strl,Agreeableness,pearson,-0.01,84,1630,100,30,351,100,9.832,0.001,SVC,test throw median,solver,9.832,balanced_accuracy,97.245,97.479,96.907,97.376,61.207,63.265,52.632,57.931
num_streamlines,Openness,pearson,-0.01,84,1633,100,30,349,100,9.776,0.001,SVC,test throw median,solver,9.776,balanced_accuracy,100,100,100,100,51.863,50.98,48.98,55.745
mean_FA,Conscientiousness,pearson,-0.01,84,1633,100,30,348,100,9.748,0.001,SVC,test throw median,solver,9.748,balanced_accuracy,100,100,100,100,47.857,53.061,30.303,41.02
num_streamlines,Agreeableness,pearson,-0.01,84,1624,100,30,332,100,9.3,0.001,SVC,test throw median,solver,9.3,balanced_accuracy,79.286,80.672,75.269,89.883,53.879,59.184,33.333,46.897
mean_strl,Openness,pearson,-0.01,84,1631,100,30,330,100,9.244,0.001,SVC,test throw median,solver,9.244,balanced_accuracy,71.935,73.214,66.667,82.403,57.609,56.863,56,55.823
mean_strl,Openness,pearson,-0.01,84,1631,100,25,270,100,7.563,0.001,SVC,test throw median,solver,7.563,balanced_accuracy,94.581,94.643,94,91.081,57.22,56.863,57.692,56.056
mean_strl,Agreeableness,pearson,-0.01,84,1630,100,25,265,100,7.423,0.001,SVC,test throw median,solver,7.423,balanced_accuracy,62.959,64.706,55.319,65.044,40.862,42.857,30,39.828
num_streamlines,Conscientiousness,pearson,-0.01,84,1641,100,25,264,100,7.395,0.001,SVC,test throw median,solver,7.395,balanced_accuracy,75.232,75.455,73.267,85.577,55.714,61.224,38.71,45.204
num_streamlines,Extraversion,pearson,-0.01,84,1635,100,25,262,100,7.339,0.001,SVC,test throw median,solver,7.339,balanced_accuracy,100,100,100,0,53.455,51.064,25.806,47.091
mean_FA,Neuroticism,pearson,-0.01,84,1631,100,25,260,100,7.283,0.001,SVC,test throw median,solver,7.283,balanced_accuracy,64.468,62.712,67.647,73.003,52.007,53.061,61.017,58.696
mean_strl,Neuroticism,pearson,-0.01,84,1634,100,25,258,100,7.227,0.001,SVC,test throw median,solver,7.227,balanced_accuracy,77.17,77.119,75.676,75.203,44.064,44.898,52.632,43.144
mean_strl,Conscientiousness,pearson,-0.01,84,1632,100,25,257,100,7.199,0.001,SVC,test throw median,solver,7.199,balanced_accuracy,80.603,80.909,78.788,87.069,50,59.184,28.571,53.469
mean_FA,Agreeableness,pearson,-0.01,84,1629,100,25,256,100,7.171,0.001,SVC,test throw median,solver,7.171,balanced_accuracy,100,100,100,0,44.483,48.98,24.242,52.586
mean_strl,Extraversion,pearson,-0.01,84,1628,100,25,253,100,7.087,0.001,SVC,test throw median,solver,7.087,balanced_accuracy,94.776,94.915,94.444,0.635,56.364,55.319,48.78,44.182
mean_FA,Openness,pearson,-0.01,84,1634,100,25,251,100,7.031,0.001,SVC,test throw median,solver,7.031,balanced_accuracy,65.903,66.964,60.215,68.79,56.211,54.902,51.064,54.193
mean_FA,Extraversion,pearson,-0.01,84,1638,100,25,246,100,6.891,0.001,SVC,test throw median,solver,6.891,balanced_accuracy,100,100,100,0,43.545,42.553,34.146,53.364
mean_strl,Agreeableness,pearson,-0.01,84,840,100,30,244,100,6.835,0.005,SVC,test throw median,solver,6.835,balanced_accuracy,98.98,99.16,98.969,97.959,40.69,40.816,35.556,39.483
num_streamlines,Conscientiousness,pearson,-0.01,84,843,100,30,243,100,6.807,0.005,SVC,test throw median,solver,6.807,balanced_accuracy,52.885,52.727,52.727,44.463,44.286,51.02,25,34.49
