,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_nodes,Num edges,% Positive edges,ROI_strl_thresh,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
0,SVC,Gender,randome,t_test,solver,mean_strl,8.405,roc_auc_ovr_weighted,29,293,100.0,0,100.0,100.0,100.0,100.0,71.008,70.968,68.966,84.191
1,SVC,Gender,randome,t_test,solver,num_streamlines,8.319,roc_auc_ovr_weighted,29,290,100.0,0,87.162,87.943,89.941,96.417,81.092,80.645,80.0,91.807
2,SVC,Gender,randome,fscores,solver,mean_FA,8.204,roc_auc_ovr_weighted,29,286,100.0,0,100.0,100.0,100.0,100.0,68.592,69.355,64.151,75.21
3,SVC,Gender,randome,fscores,solver,mean_strl,8.032,roc_auc_ovr_weighted,29,280,100.0,0,97.331,97.163,97.561,99.751,68.908,69.355,65.455,84.874
4,SVC,Gender,randome,t_test,solver,mean_strl,8.003,roc_auc_ovr_weighted,28,279,100.0,0,99.398,99.291,99.394,99.979,75.42,75.806,72.727,87.5
5,SVC,Gender,randome,fscores,solver,num_streamlines,7.917,roc_auc_ovr_weighted,29,276,100.0,0,100.0,100.0,100.0,100.0,84.664,83.871,83.871,92.542
6,SVC,Gender,randome,t_test,solver,num_streamlines,7.86,roc_auc_ovr_weighted,28,274,100.0,0,97.933,97.872,98.182,99.938,82.878,82.258,81.967,92.752
7,SVC,Gender,randome,t_test,solver,mean_FA,7.803,roc_auc_ovr_weighted,28,272,100.0,0,100.0,100.0,100.0,100.0,68.592,69.355,64.151,75.0
8,SVC,Gender,randome,fscores,solver,mean_FA,7.717,roc_auc_ovr_weighted,28,269,100.0,0,100.0,100.0,100.0,100.0,70.693,70.968,67.857,74.16
9,SVC,Gender,randome,t_test,solver,mean_strl,7.602,roc_auc_ovr_weighted,27,265,100.0,0,99.398,99.291,99.394,99.917,75.42,75.806,72.727,85.819
10,SVC,Gender,randome,t_test,solver,num_streamlines,7.516,roc_auc_ovr_weighted,27,262,100.0,0,89.832,90.78,92.398,97.341,79.622,79.032,78.689,91.702
11,SVC,Gender,randome,fscores,solver,mean_strl,7.487,roc_auc_ovr_weighted,28,261,100.0,0,100.0,100.0,100.0,100.0,72.479,72.581,70.175,84.139
12,SVC,Gender,randome,t_test,solver,mean_FA,7.372,roc_auc_ovr_weighted,27,257,100.0,0,100.0,100.0,100.0,100.0,72.164,72.581,69.091,74.265
