,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_nodes,Num edges,% Positive edges,ROI_strl_thresh,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
0,SVC,Conscientiousness,test throw median,pearson,solver,mean_strl,9.468,balanced_accuracy,30,338,100.0,0,100.0,100.0,100.0,0.0,57.143,57.143,43.243,44.49
1,SVC,Openness,test throw median,pearson,solver,num_streamlines,9.412,balanced_accuracy,30,336,100.0,0,100.0,100.0,100.0,0.0,56.988,54.902,46.512,50.932
2,SVC,Extraversion,test throw median,pearson,solver,mean_FA,9.328,balanced_accuracy,30,333,100.0,0,52.944,50.0,64.242,46.522,48.545,51.064,65.672,51.273
3,SVC,Extraversion,test throw median,pearson,solver,mean_strl,9.244,balanced_accuracy,30,330,100.0,0,55.729,55.932,52.727,43.117,51.273,51.064,51.064,51.545
4,SVC,Conscientiousness,test throw median,pearson,solver,num_streamlines,9.216,balanced_accuracy,30,329,100.0,0,70.424,70.909,66.667,82.046,34.286,42.857,12.5,33.878
5,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,9.16,balanced_accuracy,30,327,100.0,0,66.03,64.407,68.657,71.904,55.853,57.143,65.574,56.856
6,SVC,Openness,test throw median,pearson,solver,mean_FA,8.964,balanced_accuracy,30,320,100.0,0,99.194,99.107,99.01,100.0,39.596,39.216,39.216,44.72
7,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,8.655,balanced_accuracy,30,309,100.0,0,100.0,100.0,100.0,100.0,46.034,48.98,32.432,46.897
8,SVC,Neuroticism,test throw median,pearson,solver,mean_strl,8.403,balanced_accuracy,30,300,100.0,0,59.693,58.475,62.016,33.594,51.087,51.02,52.0,45.903
9,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,8.319,balanced_accuracy,30,297,100.0,0,100.0,100.0,100.0,100.0,49.286,48.98,35.897,49.592
10,SVC,Agreeableness,test throw median,pearson,solver,num_streamlines,7.899,balanced_accuracy,30,282,100.0,0,91.939,91.597,90.196,97.259,48.707,53.061,30.303,59.483
11,SVC,Conscientiousness,test throw median,pearson,solver,num_streamlines,7.143,balanced_accuracy,25,255,100.0,0,100.0,100.0,100.0,100.0,43.571,53.061,20.69,40.816
12,SVC,Conscientiousness,test throw median,pearson,solver,mean_strl,7.003,balanced_accuracy,25,250,100.0,0,81.863,81.818,81.132,75.133,39.286,40.816,25.641,40.204
13,SVC,Openness,test throw median,pearson,solver,mean_FA,6.947,balanced_accuracy,25,248,100.0,0,100.0,100.0,100.0,100.0,44.565,45.098,50.0,46.273
