Feature_type,Target,Edge,Node_weights,Input_Graph_nodes,Input_Graph_edges,Input_graph_posedge_per,Output_Graph_nodes,Output_Graph_edges,Output_graph_posedge_per,Features_preserved_per,ROI_strl_thresh,Classifier,Choice,Feature Selection,Percentage,Refit Metric,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
mean_strl,Conscientiousness,pearson,-0.01,84,1093,100,30,338,100,9.468,0,SVC,test throw median,solver,9.468,balanced_accuracy,100,100,100,0,57.143,57.143,43.243,44.49
num_streamlines,Openness,pearson,-0.01,84,1087,100,30,336,100,9.412,0,SVC,test throw median,solver,9.412,balanced_accuracy,100,100,100,0,56.988,54.902,46.512,50.932
mean_FA,Extraversion,pearson,-0.01,84,1101,100,30,333,100,9.328,0,SVC,test throw median,solver,9.328,balanced_accuracy,52.944,50,64.242,46.522,48.545,51.064,65.672,51.273
mean_strl,Extraversion,pearson,-0.01,84,1093,100,30,330,100,9.244,0,SVC,test throw median,solver,9.244,balanced_accuracy,55.729,55.932,52.727,43.117,51.273,51.064,51.064,51.545
num_streamlines,Conscientiousness,pearson,-0.01,84,1097,100,30,329,100,9.216,0,SVC,test throw median,solver,9.216,balanced_accuracy,70.424,70.909,66.667,82.046,34.286,42.857,12.5,33.878
mean_FA,Neuroticism,pearson,-0.01,84,1080,100,30,327,100,9.16,0,SVC,test throw median,solver,9.16,balanced_accuracy,66.03,64.407,68.657,71.904,55.853,57.143,65.574,56.856
mean_FA,Openness,pearson,-0.01,84,1089,100,30,320,100,8.964,0,SVC,test throw median,solver,8.964,balanced_accuracy,99.194,99.107,99.01,100,39.596,39.216,39.216,44.72
mean_FA,Agreeableness,pearson,-0.01,84,1073,100,30,309,100,8.655,0,SVC,test throw median,solver,8.655,balanced_accuracy,100,100,100,100,46.034,48.98,32.432,46.897
mean_strl,Neuroticism,pearson,-0.01,84,1082,100,30,300,100,8.403,0,SVC,test throw median,solver,8.403,balanced_accuracy,59.693,58.475,62.016,33.594,51.087,51.02,52,45.903
mean_FA,Conscientiousness,pearson,-0.01,84,1091,100,30,297,100,8.319,0,SVC,test throw median,solver,8.319,balanced_accuracy,100,100,100,100,49.286,48.98,35.897,49.592
num_streamlines,Agreeableness,pearson,-0.01,84,1072,100,30,282,100,7.899,0,SVC,test throw median,solver,7.899,balanced_accuracy,91.939,91.597,90.196,97.259,48.707,53.061,30.303,59.483
num_streamlines,Conscientiousness,pearson,-0.01,84,1097,100,25,255,100,7.143,0,SVC,test throw median,solver,7.143,balanced_accuracy,100,100,100,100,43.571,53.061,20.69,40.816
mean_strl,Conscientiousness,pearson,-0.01,84,1093,100,25,250,100,7.003,0,SVC,test throw median,solver,7.003,balanced_accuracy,81.863,81.818,81.132,75.133,39.286,40.816,25.641,40.204
mean_FA,Openness,pearson,-0.01,84,1089,100,25,248,100,6.947,0,SVC,test throw median,solver,6.947,balanced_accuracy,100,100,100,100,44.565,45.098,50,46.273
num_streamlines,Openness,pearson,-0.01,84,1087,100,25,247,100,6.919,0,SVC,test throw median,solver,6.919,balanced_accuracy,50,44.643,61.728,4.71,50,54.902,70.886,59.627
mean_FA,Neuroticism,pearson,-0.01,84,1080,100,25,245,100,6.863,0,SVC,test throw median,solver,6.863,balanced_accuracy,66.03,64.407,68.657,69.763,52.007,53.061,61.017,56.856
num_streamlines,Neuroticism,pearson,-0.01,84,1079,100,25,244,100,6.835,0,SVC,test throw median,solver,6.835,balanced_accuracy,93.171,93.22,92.593,98.249,51.589,51.02,47.826,54.097
mean_FA,Extraversion,pearson,-0.01,84,1101,100,25,242,100,6.779,0,SVC,test throw median,solver,6.779,balanced_accuracy,86.364,87.288,84.211,0,46.909,44.681,18.75,57.818
mean_strl,Extraversion,pearson,-0.01,84,1093,100,25,240,100,6.723,0,SVC,test throw median,solver,6.723,balanced_accuracy,55.051,55.085,53.097,45.455,50.727,51.064,54.902,49.727
mean_strl,Agreeableness,pearson,-0.01,84,1073,100,25,239,100,6.695,0,SVC,test throw median,solver,6.695,balanced_accuracy,94.388,94.118,93.069,93.324,57.759,59.184,50,55.517
mean_FA,Conscientiousness,pearson,-0.01,84,1091,100,25,233,100,6.527,0,SVC,test throw median,solver,6.527,balanced_accuracy,100,100,100,100,52.857,51.02,40,57.551
num_streamlines,Extraversion,pearson,-0.01,84,1098,100,25,231,100,6.471,0,SVC,test throw median,solver,6.387,balanced_accuracy,80.361,80.508,78.899,13.997,41.818,40.426,26.316,56.909
mean_FA,Agreeableness,pearson,-0.01,84,1073,100,25,230,100,6.443,0,SVC,test throw median,solver,6.443,balanced_accuracy,92.551,91.597,90.566,97.784,55.259,57.143,46.154,51.724
mean_strl,Neuroticism,pearson,-0.01,84,1082,100,25,224,100,6.275,0,SVC,test throw median,solver,6.275,balanced_accuracy,62.297,62.712,58.491,31.67,53.763,53.061,48.889,50.167
mean_strl,Conscientiousness,pearson,-0.01,84,1093,100,20,174,100,4.874,0,SVC,test throw median,solver,4.874,balanced_accuracy,100,100,100,100,47.143,42.857,36.364,49.796
mean_FA,Neuroticism,pearson,-0.01,84,1080,100,20,173,100,4.846,0,SVC,test throw median,solver,4.846,balanced_accuracy,64.323,62.712,67.164,32.928,58.027,59.184,66.667,41.472
mean_FA,Openness,pearson,-0.01,84,1089,100,20,171,100,4.79,0,SVC,test throw median,solver,4.79,balanced_accuracy,63.903,65.179,57.143,70.258,51.863,50.98,48.98,51.708
mean_FA,Conscientiousness,pearson,-0.01,84,1091,100,20,170,100,4.762,0,SVC,test throw median,solver,4.762,balanced_accuracy,100,100,100,0,56.429,59.184,41.176,46.531
num_streamlines,Conscientiousness,pearson,-0.01,84,1097,100,20,168,100,4.706,0,SVC,test throw median,solver,4.706,balanced_accuracy,98.176,98.182,98.077,99.967,37.143,46.939,13.333,39.796
mean_strl,Extraversion,pearson,-0.01,84,1093,100,20,165,100,4.622,0,SVC,test throw median,solver,4.622,balanced_accuracy,71.299,70.339,72.868,20.173,59.818,59.574,59.574,45.455
num_streamlines,Extraversion,pearson,-0.01,84,1098,100,20,164,100,4.594,0,SVC,test throw median,solver,4.594,balanced_accuracy,83.304,83.898,81.188,91.255,45.273,44.681,40.909,43.455
mean_FA,Extraversion,pearson,-0.01,84,1101,100,20,161,100,4.51,0,SVC,test throw median,solver,4.51,balanced_accuracy,55.729,55.932,52.727,51.717,53,53.191,56,45.636
mean_FA,Agreeableness,pearson,-0.01,84,1073,100,20,154,100,4.314,0,SVC,test throw median,solver,4.314,balanced_accuracy,99.286,99.16,98.99,100,60.431,63.265,50,59.655
num_streamlines,Openness,pearson,-0.01,84,1087,100,20,150,100,4.202,0,SVC,test throw median,solver,4.202,balanced_accuracy,95.161,94.643,94.34,100,50.699,50.98,54.545,52.95
mean_strl,Neuroticism,pearson,-0.01,84,1082,100,20,147,100,4.118,0,SVC,test throw median,solver,4.118,balanced_accuracy,58.825,58.475,58.12,37.399,53.512,53.061,51.064,48.161
num_streamlines,Agreeableness,pearson,-0.01,84,1072,100,20,145,100,4.062,0,SVC,test throw median,solver,4.062,balanced_accuracy,60.816,62.185,53.608,56.385,47.759,51.02,33.333,54.397
