,Classifier,Target,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_nodes,Num edges,% Positive edges,ROI_strl_thresh,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
0,SVC,Openness,pearson,solver,mean_FA,9.552,balanced_accuracy,30,341,100,0,61.871,62.5,57.143,69.597,51.087,50.98,52.83,52.64
1,SVC,Extraversion,pearson,solver,num_streamlines,8.543,balanced_accuracy,30,305,100,0,48.009,48.305,44.037,60.375,58.364,57.447,52.381,44.818
2,SVC,Agreeableness,pearson,solver,mean_FA,8.88,balanced_accuracy,30,317,100,0,99.286,99.16,98.99,99.942,57.759,59.184,50,60.086
3,SVC,Conscientiousness,pearson,solver,mean_strl,8.852,balanced_accuracy,30,316,100,0,100,100,100,100,51.429,48.98,39.024,46.735
4,SVC,Neuroticism,pearson,solver,mean_FA,9.552,balanced_accuracy,30,341,100,0,66.175,64.407,69.118,28.588,57.776,59.184,67.742,42.642
5,SVC,Agreeableness,pearson,solver,mean_strl,8.291,balanced_accuracy,30,296,100,0,99.286,99.16,98.99,99.913,62.759,63.265,57.143,61.034
6,SVC,Extraversion,pearson,solver,mean_strl,9.16,balanced_accuracy,30,327,100,0,52.439,52.542,50,51.775,46.182,46.809,52.83,43.091
7,SVC,Extraversion,pearson,solver,mean_FA,9.16,balanced_accuracy,30,327,100,0,52.439,52.542,50,48.514,46.182,46.809,52.83,56.909
8,SVC,Conscientiousness,pearson,solver,num_streamlines,9.16,balanced_accuracy,30,327,100,0,62.168,62.727,56.842,62.997,45,55.102,21.429,49.694
9,SVC,Openness,pearson,solver,mean_strl,9.552,balanced_accuracy,30,341,100,0,61.871,62.5,57.143,69.581,51.087,50.98,52.83,52.717
10,SVC,Agreeableness,pearson,solver,num_streamlines,9.328,balanced_accuracy,30,333,100,0,86.122,86.555,83.673,93.63,41.81,44.898,27.027,50.69
11,SVC,Neuroticism,pearson,solver,num_streamlines,9.076,balanced_accuracy,30,324,100,0,100,100,100,100,56.187,55.102,47.619,59.365
12,SVC,Openness,pearson,solver,num_streamlines,9.16,balanced_accuracy,30,327,100,0,100,100,100,100,40.994,41.176,44.444,49.379
13,SVC,Conscientiousness,pearson,solver,mean_FA,8.123,balanced_accuracy,30,290,100,0,99.138,99.091,99.048,99.967,52.143,59.184,33.333,39.796
14,SVC,Neuroticism,pearson,solver,mean_strl,9.552,balanced_accuracy,30,341,100,0,66.175,64.407,69.118,28.559,57.776,59.184,67.742,42.642
15,SVC,Openness,pearson,solver,mean_strl,7.227,balanced_accuracy,25,258,100,0,63.516,65.179,55.172,72.129,46.506,45.098,39.13,50.155
16,SVC,Neuroticism,pearson,solver,num_streamlines,7.311,balanced_accuracy,25,261,100,0,69.039,70.339,62.366,75.984,55.936,55.102,50,43.478
17,SVC,Extraversion,pearson,solver,num_streamlines,6.387,balanced_accuracy,25,228,100,0,80.361,80.508,78.899,13.997,41.818,40.426,26.316,56.909
18,SVC,Openness,pearson,solver,mean_FA,7.227,balanced_accuracy,25,258,100,0,63.516,65.179,55.172,72.129,46.506,45.098,39.13,49.767
19,SVC,Neuroticism,pearson,solver,mean_FA,7.227,balanced_accuracy,25,258,100,0,63.397,61.864,66.165,67.448,55.853,57.143,65.574,56.94
20,SVC,Agreeableness,pearson,solver,mean_FA,6.218,balanced_accuracy,25,222,100,0,97.551,97.479,96.97,95.452,38.19,38.776,31.818,36.552
21,SVC,Conscientiousness,pearson,solver,mean_strl,6.415,balanced_accuracy,25,229,100,0,100,100,100,100,51.429,48.98,39.024,50.816
22,SVC,Openness,pearson,solver,num_streamlines,6.807,balanced_accuracy,25,243,100,0,50,44.643,61.728,0.097,50,54.902,70.886,56.677
23,SVC,Neuroticism,pearson,solver,mean_strl,7.227,balanced_accuracy,25,258,100,0,63.397,61.864,66.165,67.766,55.853,57.143,65.574,57.441
24,SVC,Extraversion,pearson,solver,mean_strl,7.087,balanced_accuracy,25,253,100,0,95.455,95.763,95.238,0.173,52.364,51.064,41.026,46.818
25,SVC,Extraversion,pearson,solver,mean_FA,7.087,balanced_accuracy,25,253,100,0,95.455,95.763,95.238,0.173,52.364,51.064,41.026,46.727
26,SVC,Agreeableness,pearson,solver,mean_strl,6.218,balanced_accuracy,25,222,100,0,97.551,97.479,96.97,95.452,38.19,38.776,31.818,36.552
