,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_nodes,Num edges,% Positive edges,ROI_strl_thresh,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
0,SVC,Openness,test throw median,pearson,solver,mean_FA,4.532,balanced_accuracy,19,158,100.0,0,63.771,64.557,57.576,67.503,40.625,38.889,31.25,42.812
1,SVC,Extraversion,test throw median,pearson,solver,num_streamlines,4.475,balanced_accuracy,19,156,100.0,0,100.0,100.0,100.0,0.0,46.199,45.946,41.176,54.678
2,SVC,Extraversion,test throw median,pearson,solver,mean_strl,4.418,balanced_accuracy,19,154,100.0,0,65.278,65.385,63.014,35.549,59.357,59.459,61.538,46.491
3,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,4.389,balanced_accuracy,19,153,100.0,0,100.0,100.0,100.0,100.0,46.916,43.59,50.0,48.701
4,SVC,Conscientiousness,test throw median,pearson,solver,mean_strl,4.36,balanced_accuracy,19,152,100.0,0,59.085,58.75,60.241,48.872,42.857,42.857,37.5,58.844
5,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,4.332,balanced_accuracy,19,151,100.0,0,92.322,92.593,91.667,98.157,51.518,48.889,43.902,60.121
6,SVC,Openness,test throw median,pearson,solver,mean_strl,4.303,balanced_accuracy,19,150,100.0,0,67.664,68.354,62.687,79.858,40.0,38.889,35.294,44.062
7,SVC,Openness,test throw median,pearson,solver,num_streamlines,4.274,balanced_accuracy,19,149,100.0,0,100.0,100.0,100.0,0.0,55.625,55.556,57.895,44.375
8,SVC,Neuroticism,test throw median,pearson,solver,mean_strl,4.188,balanced_accuracy,19,146,100.0,0,100.0,100.0,100.0,0.0,40.587,44.444,57.627,73.077
9,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,4.131,balanced_accuracy,19,144,100.0,0,100.0,100.0,100.0,0.0,56.818,53.846,60.87,54.545
10,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,4.102,balanced_accuracy,19,143,100.0,0,100.0,100.0,100.0,100.0,54.762,54.286,50.0,67.347
11,SVC,Openness,test throw median,pearson,solver,mean_FA,4.073,balanced_accuracy,18,142,100.0,0,94.916,94.937,94.595,99.228,35.0,33.333,25.0,38.75
12,SVC,Neuroticism,test throw median,pearson,solver,mean_strl,4.016,balanced_accuracy,18,140,100.0,0,67.537,65.432,70.833,20.547,52.834,57.778,69.841,52.227
13,SVC,Conscientiousness,test throw median,pearson,solver,num_streamlines,3.987,balanced_accuracy,18,139,100.0,0,100.0,100.0,100.0,100.0,50.0,48.571,47.059,55.782
14,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,3.959,balanced_accuracy,18,138,100.0,0,100.0,100.0,100.0,100.0,46.916,43.59,50.0,46.753
15,SVC,Conscientiousness,test throw median,pearson,solver,mean_strl,3.901,balanced_accuracy,18,136,100.0,0,56.328,56.25,55.696,47.682,46.429,48.571,35.714,58.844
16,SVC,Openness,test throw median,pearson,solver,mean_strl,3.844,balanced_accuracy,18,134,100.0,0,61.068,62.025,53.125,68.662,37.5,36.111,30.303,42.812
17,SVC,Openness,test throw median,pearson,solver,num_streamlines,3.787,balanced_accuracy,17,132,100.0,0,98.649,98.734,98.63,99.743,63.125,63.889,68.293,64.375
18,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,3.758,balanced_accuracy,18,131,100.0,0,100.0,100.0,100.0,100.0,48.684,48.889,53.061,55.263
19,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,3.729,balanced_accuracy,17,130,100.0,0,100.0,100.0,100.0,100.0,59.578,53.846,59.091,57.143
20,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,3.701,balanced_accuracy,18,129,100.0,0,78.008,78.75,73.846,82.456,52.381,54.286,42.857,51.361
21,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,3.643,balanced_accuracy,17,127,100.0,0,100.0,100.0,100.0,100.0,40.486,37.778,30.0,40.891
22,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,3.614,balanced_accuracy,18,126,100.0,0,98.75,98.63,98.507,0.152,58.604,56.41,63.83,52.922
23,SVC,Extraversion,test throw median,pearson,solver,mean_strl,3.557,balanced_accuracy,17,124,100.0,0,97.421,97.436,97.222,3.042,62.281,62.162,61.111,40.058
24,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,3.528,balanced_accuracy,17,123,100.0,0,100.0,100.0,100.0,100.0,53.247,48.718,54.545,51.623
