,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_nodes,Num edges,% Positive edges,ROI_strl_thresh,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
0,SVC,Extraversion,keep median,pearson,solver,mean_strl,8.95,roc_auc_ovr_weighted,29,312,100.0,0,50.0,53.39,0.0,37.691,50.0,43.548,0.0,46.772
1,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,8.921,roc_auc_ovr_weighted,29,311,100.0,0,100.0,100.0,100.0,100.0,52.038,51.613,50.0,47.962
2,SVC,Neuroticism,keep median,pearson,solver,mean_FA,8.893,roc_auc_ovr_weighted,29,310,100.0,0,70.833,71.186,67.925,69.705,57.889,58.065,60.606,63.271
3,SVC,Extraversion,keep median,pearson,solver,mean_FA,8.778,roc_auc_ovr_weighted,29,306,100.0,0,50.0,53.39,0.0,41.414,50.0,43.548,0.0,43.81
4,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,8.692,roc_auc_ovr_weighted,28,303,100.0,0,57.755,57.627,56.14,50.637,52.038,51.613,50.0,48.485
5,SVC,Extraversion,keep median,pearson,solver,num_streamlines,8.52,roc_auc_ovr_weighted,28,297,100.0,0,50.0,53.39,0.0,50.0,50.0,43.548,0.0,50.0
6,SVC,Extraversion,keep median,pearson,solver,mean_FA,8.462,roc_auc_ovr_weighted,28,295,100.0,0,50.0,53.39,0.0,41.703,50.0,43.548,0.0,46.878
7,SVC,Neuroticism,keep median,pearson,solver,mean_FA,8.405,roc_auc_ovr_weighted,28,293,100.0,0,99.074,99.153,99.065,0.0,41.902,41.935,43.75,60.92
8,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,8.032,roc_auc_ovr_weighted,27,280,100.0,0,100.0,100.0,100.0,100.0,49.582,46.774,10.811,44.096
9,SVC,Extraversion,keep median,pearson,solver,mean_FA,7.975,roc_auc_ovr_weighted,27,278,100.0,0,50.0,53.39,0.0,40.75,50.0,43.548,0.0,47.196
10,SVC,Neuroticism,keep median,pearson,solver,mean_FA,7.917,roc_auc_ovr_weighted,27,276,100.0,0,87.905,88.136,86.792,84.693,56.165,56.452,59.701,57.576
11,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,7.803,roc_auc_ovr_weighted,26,272,100.0,0,100.0,100.0,100.0,100.0,48.067,45.161,5.556,42.79
12,SVC,Neuroticism,keep median,pearson,solver,mean_strl,7.602,roc_auc_ovr_weighted,28,265,100.0,0,53.906,54.237,50.0,47.381,63.48,62.903,61.017,38.976
13,SVC,Neuroticism,keep median,pearson,solver,mean_FA,7.487,roc_auc_ovr_weighted,26,261,100.0,0,61.111,60.169,62.4,33.536,49.687,50.0,53.731,56.949
14,SVC,Extraversion,keep median,pearson,solver,mean_FA,7.344,roc_auc_ovr_weighted,26,256,100.0,0,50.0,53.39,0.0,38.413,50.0,43.548,0.0,48.995
15,SVC,Extraversion,keep median,pearson,solver,mean_strl,7.315,roc_auc_ovr_weighted,26,255,100.0,0,50.0,53.39,0.0,35.758,50.0,43.548,0.0,48.995
16,SVC,Neuroticism,keep median,pearson,solver,mean_strl,7.2,roc_auc_ovr_weighted,27,251,100.0,0,50.0,54.237,0.0,15.799,50.0,46.774,0.0,52.09
17,SVC,Neuroticism,keep median,pearson,solver,mean_FA,7.028,roc_auc_ovr_weighted,25,245,100.0,0,100.0,100.0,100.0,100.0,44.723,45.161,50.0,39.185
18,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,6.999,roc_auc_ovr_weighted,25,244,100.0,0,100.0,100.0,100.0,100.0,47.701,46.774,40.0,47.544
19,SVC,Extraversion,keep median,pearson,solver,mean_FA,6.942,roc_auc_ovr_weighted,25,242,100.0,0,50.0,53.39,0.0,41.241,50.0,43.548,0.0,49.312
20,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,6.913,roc_auc_ovr_weighted,24,241,100.0,0,99.074,99.153,99.065,100.0,49.582,46.774,10.811,42.111
21,SVC,Extraversion,keep median,pearson,solver,mean_strl,6.885,roc_auc_ovr_weighted,25,240,100.0,0,50.0,53.39,0.0,32.814,50.0,43.548,0.0,48.995
22,SVC,Neuroticism,keep median,pearson,solver,mean_strl,6.77,roc_auc_ovr_weighted,26,236,100.0,0,50.0,54.237,0.0,5.816,48.276,45.161,0.0,48.38
23,SVC,Extraversion,keep median,pearson,solver,num_streamlines,6.684,roc_auc_ovr_weighted,24,233,100.0,0,50.0,53.39,0.0,50.0,50.0,43.548,0.0,50.0
24,SVC,Neuroticism,keep median,pearson,solver,mean_FA,6.655,roc_auc_ovr_weighted,24,232,100.0,0,94.444,94.915,94.118,0.0,41.641,40.323,27.451,58.516
25,SVC,Extraversion,keep median,pearson,solver,num_streamlines,6.54,roc_auc_ovr_weighted,25,228,100.0,0,100.0,100.0,100.0,100.0,62.751,61.29,60.0,64.974
26,SVC,Extraversion,keep median,pearson,solver,mean_strl,6.483,roc_auc_ovr_weighted,24,226,100.0,0,50.0,46.61,63.584,36.825,50.0,56.452,72.165,49.947
27,SVC,Neuroticism,keep median,pearson,solver,mean_strl,6.426,roc_auc_ovr_weighted,25,224,100.0,0,50.0,54.237,0.0,34.693,50.0,46.774,0.0,49.321
28,SVC,Extraversion,keep median,pearson,solver,mean_FA,6.397,roc_auc_ovr_weighted,24,223,100.0,0,49.322,52.542,3.448,38.355,49.577,43.548,5.405,48.783
29,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,6.225,roc_auc_ovr_weighted,23,217,100.0,0,98.293,98.305,98.148,99.711,51.149,50.0,41.509,45.664
30,SVC,Neuroticism,keep median,pearson,solver,mean_FA,6.168,roc_auc_ovr_weighted,23,215,100.0,0,90.972,90.678,90.265,95.732,34.587,35.484,44.444,33.542
31,SVC,Extraversion,keep median,pearson,solver,mean_FA,6.081,roc_auc_ovr_weighted,23,212,100.0,0,50.0,53.39,0.0,41.328,50.0,43.548,0.0,48.995
32,SVC,Extraversion,keep median,pearson,solver,mean_strl,5.967,roc_auc_ovr_weighted,23,208,100.0,0,50.0,53.39,0.0,31.645,50.0,43.548,0.0,50.635
33,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,5.881,roc_auc_ovr_weighted,22,205,100.0,0,83.362,83.051,82.456,93.981,43.835,43.548,42.623,41.066
34,SVC,Neuroticism,keep median,pearson,solver,mean_strl,5.737,roc_auc_ovr_weighted,24,200,100.0,0,68.692,69.492,64.0,70.284,45.35,45.161,45.161,37.095
35,SVC,Neuroticism,keep median,pearson,solver,mean_FA,5.68,roc_auc_ovr_weighted,22,198,100.0,0,100.0,100.0,100.0,0.0,41.484,41.935,47.059,58.934
36,SVC,Extraversion,keep median,pearson,solver,mean_strl,5.594,roc_auc_ovr_weighted,22,195,100.0,0,50.0,53.39,0.0,46.45,50.0,43.548,0.0,53.386
37,SVC,Extraversion,keep median,pearson,solver,mean_FA,5.565,roc_auc_ovr_weighted,22,194,100.0,0,50.0,53.39,0.0,35.296,50.0,43.548,0.0,49.312
38,SVC,Neuroticism,keep median,pearson,solver,mean_strl,5.393,roc_auc_ovr_weighted,23,188,100.0,0,56.973,56.78,55.652,55.556,61.546,61.29,61.29,60.502
39,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,5.307,roc_auc_ovr_weighted,21,185,100.0,0,84.925,84.746,83.929,95.052,51.62,51.613,53.125,41.797
40,SVC,Extraversion,keep median,pearson,solver,mean_strl,5.221,roc_auc_ovr_weighted,21,182,100.0,0,50.0,53.39,0.0,30.39,50.0,43.548,0.0,51.323
41,SVC,Neuroticism,keep median,pearson,solver,mean_FA,5.192,roc_auc_ovr_weighted,21,181,100.0,0,100.0,100.0,100.0,100.0,45.141,45.161,46.875,39.707
42,SVC,Extraversion,keep median,pearson,solver,mean_FA,5.077,roc_auc_ovr_weighted,21,177,100.0,0,50.0,53.39,0.0,39.567,50.0,43.548,0.0,49.894
