,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_nodes,Num edges,% Positive edges,ROI_strl_thresh,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
0,SVC,Extraversion,test throw median,pearson,solver,mean_strl,8.95,roc_auc_ovr_weighted,29,312,100.0,0,50.0,53.39,0.0,30.88,50.0,46.809,0.0,47.818
1,SVC,Neuroticism,test throw median,pearson,solver,num_streamlines,8.921,roc_auc_ovr_weighted,29,311,100.0,0,100.0,100.0,100.0,100.0,59.783,59.184,56.522,58.612
2,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,8.893,roc_auc_ovr_weighted,29,310,100.0,0,70.833,71.186,67.925,69.531,42.893,42.857,44.0,45.485
3,SVC,Extraversion,test throw median,pearson,solver,mean_FA,8.778,roc_auc_ovr_weighted,29,306,100.0,0,50.0,53.39,0.0,36.104,50.0,46.809,0.0,53.909
4,SVC,Neuroticism,test throw median,pearson,solver,num_streamlines,8.692,roc_auc_ovr_weighted,28,303,100.0,0,100.0,100.0,100.0,100.0,50.167,48.98,39.024,46.488
5,SVC,Extraversion,test throw median,pearson,solver,num_streamlines,8.52,roc_auc_ovr_weighted,28,297,100.0,0,50.0,53.39,0.0,50.0,50.0,46.809,0.0,50.0
6,SVC,Extraversion,test throw median,pearson,solver,mean_FA,8.462,roc_auc_ovr_weighted,28,295,100.0,0,50.0,53.39,0.0,50.0,50.0,46.809,0.0,50.0
7,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,8.405,roc_auc_ovr_weighted,28,293,100.0,0,52.054,52.542,47.17,51.707,47.742,46.939,40.909,53.846
8,SVC,Neuroticism,test throw median,pearson,solver,num_streamlines,8.032,roc_auc_ovr_weighted,27,280,100.0,0,64.439,64.407,62.5,67.723,51.087,51.02,52.0,47.157
9,SVC,Extraversion,test throw median,pearson,solver,mean_FA,7.975,roc_auc_ovr_weighted,27,278,100.0,0,50.0,53.39,0.0,40.75,50.0,46.809,0.0,49.636
10,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,7.917,roc_auc_ovr_weighted,27,276,100.0,0,53.704,53.39,52.991,57.436,49.164,48.98,48.98,48.495
