,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Node_weights,Factor,Subtracted_value,Num edges,% Positive edges,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
0,SVC,Agreeableness,test throw median,num_streamlines,solver,pearson,17.92717086834734,balanced_accuracy,avg,100,10,640,100.0,100.0,100.0,100.0,100.0,50.259,53.061,37.838,48.621
1,SVC,Agreeableness,test throw median,mean_strl,solver,pearson,6.2745098039215685,balanced_accuracy,avg,100,10,224,100.0,100.0,100.0,100.0,100.0,57.931,61.224,45.714,43.966
2,SVC,Conscientiousness,test throw median,num_streamlines,solver,pearson,4.201680672268908,balanced_accuracy,avg,100,10,150,100.0,100.0,100.0,100.0,100.0,45.714,46.939,31.579,46.122
3,SVC,Conscientiousness,test throw median,mean_strl,solver,pearson,18.54341736694678,balanced_accuracy,avg,100,10,662,100.0,100.0,100.0,100.0,100.0,43.571,53.061,20.69,33.673
4,SVC,Conscientiousness,test throw median,mean_FA,solver,pearson,18.54341736694678,balanced_accuracy,avg,100,10,662,100.0,100.0,100.0,100.0,100.0,43.571,53.061,20.69,33.673
5,SVC,Extraversion,test throw median,mean_FA,solver,pearson,1.5686274509803921,balanced_accuracy,avg,100,10,56,100.0,80.476,80.508,79.279,92.006,53.545,53.191,52.174,59.636
6,SVC,Extraversion,test throw median,num_streamlines,solver,pearson,17.563025210084035,balanced_accuracy,avg,100,10,627,100.0,98.297,98.305,98.182,99.654,42.182,42.553,47.059,41.273
7,SVC,Neuroticism,test throw median,num_streamlines,solver,pearson,29.439775910364144,balanced_accuracy,avg,100,10,1051,100.0,100.0,100.0,100.0,100.0,50.836,51.02,53.846,45.819
8,SVC,Neuroticism,test throw median,mean_FA,solver,pearson,19.439775910364144,balanced_accuracy,avg,100,10,694,100.0,100.0,100.0,100.0,100.0,46.739,46.939,50.0,40.134
9,SVC,Neuroticism,test throw median,mean_strl,solver,pearson,19.439775910364144,balanced_accuracy,avg,100,10,694,100.0,100.0,100.0,100.0,100.0,46.739,46.939,50.0,40.134
10,SVC,Openness,test throw median,mean_strl,solver,pearson,38.57142857142857,balanced_accuracy,avg,100,10,1377,100.0,100.0,100.0,100.0,100.0,53.261,52.941,53.846,53.571
11,SVC,Openness,test throw median,num_streamlines,solver,pearson,20.50420168067227,balanced_accuracy,avg,100,10,732,100.0,97.581,97.321,97.087,99.968,44.565,45.098,50.0,53.416
12,SVC,Openness,test throw median,mean_FA,solver,pearson,38.57142857142857,balanced_accuracy,avg,100,10,1377,100.0,100.0,100.0,100.0,100.0,53.261,52.941,53.846,53.571
13,SVC,Agreeableness,test throw median,num_streamlines,solver,pearson,17.92717086834734,accuracy,avg,100,10,640,100.0,100.0,100.0,100.0,100.0,50.259,53.061,37.838,48.621
14,SVC,Agreeableness,test throw median,mean_strl,solver,pearson,6.2745098039215685,accuracy,avg,100,10,224,100.0,100.0,100.0,100.0,100.0,57.931,61.224,45.714,43.966
15,SVC,Conscientiousness,test throw median,num_streamlines,solver,pearson,4.201680672268908,accuracy,avg,100,10,150,100.0,99.138,99.091,99.048,99.901,52.143,53.061,37.838,47.551
16,SVC,Conscientiousness,test throw median,mean_strl,solver,pearson,18.54341736694678,accuracy,avg,100,10,662,100.0,100.0,100.0,100.0,100.0,43.571,53.061,20.69,33.673
17,SVC,Conscientiousness,test throw median,mean_FA,solver,pearson,18.54341736694678,accuracy,avg,100,10,662,100.0,100.0,100.0,100.0,100.0,43.571,53.061,20.69,33.673
18,SVC,Extraversion,test throw median,mean_FA,solver,pearson,1.5686274509803921,accuracy,avg,100,10,56,100.0,79.683,79.661,78.571,89.264,59.273,59.574,62.745,60.545
19,SVC,Extraversion,test throw median,num_streamlines,solver,pearson,17.563025210084035,accuracy,avg,100,10,627,100.0,100.0,100.0,100.0,100.0,53.273,53.191,54.167,44.364
20,SVC,Neuroticism,test throw median,num_streamlines,solver,pearson,29.439775910364144,accuracy,avg,100,10,1051,100.0,100.0,100.0,100.0,100.0,50.836,51.02,53.846,45.819
21,SVC,Neuroticism,test throw median,mean_FA,solver,pearson,19.439775910364144,accuracy,avg,100,10,694,100.0,100.0,100.0,100.0,100.0,46.739,46.939,50.0,40.134
22,SVC,Neuroticism,test throw median,mean_strl,solver,pearson,19.439775910364144,accuracy,avg,100,10,694,100.0,100.0,100.0,100.0,100.0,46.739,46.939,50.0,40.134
23,SVC,Openness,test throw median,mean_strl,solver,pearson,38.57142857142857,accuracy,avg,100,10,1377,100.0,100.0,100.0,100.0,100.0,53.261,52.941,53.846,53.494
24,SVC,Openness,test throw median,num_streamlines,solver,pearson,20.50420168067227,accuracy,avg,100,10,732,100.0,97.581,97.321,97.087,99.968,44.565,45.098,50.0,53.416
25,SVC,Openness,test throw median,mean_FA,solver,pearson,38.57142857142857,accuracy,avg,100,10,1377,100.0,100.0,100.0,100.0,100.0,53.261,52.941,53.846,53.571
26,SVC,Agreeableness,test throw median,num_streamlines,solver,pearson,17.92717086834734,f1_weighted,avg,100,10,640,100.0,100.0,100.0,100.0,100.0,50.259,53.061,37.838,48.621
